time,AkSuu,AlaArcha,Alamedin,ChonKayindi,ChonKemin,KaraBalta,Kegety,Kochkor,Sokuluk
716741,2.873333333,1.913333333,2.726666667,NaN,20.33333333,3.04,1.316666667,19.1,1.25
716772,11.1,7.583333333,9.86,NaN,43.86666667,14.4,4.386666667,41.2,9.98
716802,12.33333333,10.89333333,17.4,NaN,40.1,12.9,4.633333333,27.66666667,13.56666667
716833,11.81666667,16.33333333,23.33333333,NaN,46.33333333,9.343333333,5.636666667,32.03333333,16.7
716864,6.013333333,6.183333333,9.5,NaN,24.33333333,5.41,3.476666667,31.3,6.69
716894,2.766666667,2.866666667,3.936666667,NaN,15.8,3.056666667,2.026666667,23.73333333,2.33
716925,1.94,2.123333333,2.483333333,NaN,12.03333333,2.213333333,1.34,21.73333333,1.876666667
716955,1.846666667,1.736666667,2.05,NaN,10.36333333,1.75,1.186666667,20.06666667,1.466666667
716986,1.523333333,1.51,1.873333333,NaN,9.726666667,1.5,0.773333333,19.56666667,1.343333333
717017,1.286666667,1.42,1.663333333,NaN,9.05,1.356666667,0.59,20.03333333,1.243333333
717045,1.183333333,1.383333333,1.55,NaN,8.283333333,1.286666667,0.476666667,18.03333333,1.176666667
717076,1.55,1.416666667,1.656666667,NaN,9.456666667,1.48,0.526666667,16.56666667,1.216666667
717106,3.983333333,2.786666667,3.586666667,NaN,24.86666667,4.683333333,1.603333333,22.36666667,1.216666667
717137,13.2,9.386666667,11.82333333,NaN,69.33333333,17.6,5.56,58.86666667,11.72
717167,12.55,11.56666667,14.73333333,NaN,51.33333333,14.2,5.736666667,40.73333333,14.3
717198,9.11,9.503333333,12.7,NaN,33.7,9.243333333,4.544,34.26666667,9.616666667
717229,4.663333333,4.626666667,6.723333333,NaN,19.2,5.03,2.856666667,29.46666667,4.973333333
717259,2.643333333,2.296666667,3.1,NaN,14.93333333,3.356666667,1.853333333,24.53333333,2.256666667
717290,2.246666667,1.886666667,1.93,NaN,12.26666667,2.606666667,1.333333333,23.26666667,1.81
717320,1.896666667,1.666666667,1.643333333,NaN,9.383333333,2.043333333,0.97,20.93333333,1.66
717351,1.63,1.6,1.42,NaN,8.983333333,1.776666667,0.656666667,18.83333333,1.503333333
717382,1.39,1.383333333,1.293333333,NaN,9.463333333,1.536666667,0.74,19.33333333,1.223333333
717411,1.57,1.25,1.29,NaN,10.35333333,1.47,0.886666667,18.1,1.276666667
717442,1.93,1.293333333,1.263333333,NaN,12.06666667,1.603333333,0.796666667,15.2,1.373333333
717472,3.046666667,2.43,1.846666667,NaN,17.03333333,3.71,1.543333333,19.7,1.373333333
717503,11.39666667,7.813333333,9.26,NaN,50.66666667,16.26666667,5.35,56.96666667,9.273333333
717533,18.71,11.25333333,15.26666667,NaN,51.36666667,23.03333333,7.153333333,71.3,14.56666667
717564,13.60333333,9.726666667,14.83333333,NaN,44.13333333,14.3,5.84,66.23333333,12.53333333
717595,5.9,5.19,6.7,NaN,21.96666667,6.176666667,3.55,43.46666667,5.423333333
717625,3.813333333,2.706666667,3.336666667,NaN,20.8,3.613333333,2.083333333,30.1,3.54
717656,3.116666667,1.936666667,1.826666667,NaN,16.63333333,2.636666667,1.34,26.63333333,2.903333333
717686,2.51,1.593333333,1.266666667,NaN,10.86666667,2.15,0.866666667,22.96666667,2.39
717717,2.246666667,1.436666667,1.146666667,NaN,10.36666667,1.896666667,0.823333333,22.4,1.813333333
