time,AlpineCamp,Baytyk,Belogorka,Bishkek,ChonArik,ChonKemin,ChonKurchak,KaraKudzhur,Kegety,Kochkorka,Shabdan,Sosnovka
728258,-3.163028435,-3.163028435,-3.163028435,-3.163028435,-3.163028435,-3.209694971,-3.163028435,-5.387037234,-3.209694971,-3.209694971,-3.175910039,-3.505035001
728268,-4.841676996,-4.841676996,-4.841676996,-4.841676996,-4.841676996,-5.097786689,-4.841676996,-8.362511924,-5.097786689,-5.097786689,-5.475217664,-5.388735264
728278,-3.430965783,-3.430965783,-3.430965783,-3.430965783,-3.430965783,-4.417345274,-3.430965783,-9.767133652,-4.417345274,-4.417345274,-5.189304625,-3.628932603
728288,-1.780326725,-1.780326725,-1.780326725,-1.780326725,-1.780326725,-3.248882724,-1.780326725,-7.508168866,-3.248882724,-3.248882724,-4.550616638,-1.98126909
728299,-5.218873759,-5.218873759,-5.218873759,-5.218873759,-5.218873759,-6.307779102,-5.218873759,-11.91719034,-6.307779102,-6.307779102,-7.248604561,-4.874993506
728309,-9.075508663,-9.075508663,-9.075508663,-9.075508663,-9.075508663,-10.56971609,-9.075508663,-15.53293926,-10.56971609,-10.56971609,-11.19845543,-7.890752482
728319,-2.436117436,-2.436117436,-2.436117436,-2.436117436,-2.436117436,-3.539730163,-2.436117436,-9.056835662,-3.539730163,-3.539730163,-4.176783995,-1.858893859
728330,-4.308495727,-4.308495727,-4.308495727,-4.308495727,-4.308495727,-5.195159899,-4.308495727,-9.706004589,-5.195159899,-5.195159899,-5.888482917,-3.642868156
728340,-8.632791381,-8.632791381,-8.632791381,-8.632791381,-8.632791381,-9.027319757,-8.632791381,-12.14782959,-9.027319757,-9.027319757,-9.237758311,-8.679984891
728350,-4.52637048,-4.52637048,-4.52637048,-4.52637048,-4.52637048,-5.240640741,-4.52637048,-9.220543805,-5.240640741,-5.240640741,-5.837512755,-4.360007502
728358,-2.717734833,-2.717734833,-2.717734833,-2.717734833,-2.717734833,-3.378678184,-2.717734833,-5.197853325,-3.378678184,-3.378678184,-3.658443185,-2.304703791
728368,3.826880798,3.826880798,3.826880798,3.826880798,3.826880798,2.568231056,3.826880798,-3.240786477,2.568231056,2.568231056,1.917124565,4.23692565
728378,8.755866587,8.755866587,8.755866587,8.755866587,8.755866587,7.663272422,8.755866587,0.357912953,7.663272422,7.663272422,6.726801158,9.101380995
728389,1.394190026,1.394190026,1.394190026,1.394190026,1.394190026,0.748353282,1.394190026,-4.394802469,0.748353282,0.748353282,0.105092859,1.570960754
728399,6.666396021,6.666396021,6.666396021,6.666396021,6.666396021,5.68089482,6.666396021,-1.393740231,5.68089482,5.68089482,4.925037474,7.093069852
728409,10.29467523,10.29467523,10.29467523,10.29467523,10.29467523,9.030404426,10.29467523,2.619054836,9.030404426,9.030404426,8.283915518,10.93371986
728419,12.75693514,12.75693514,12.75693514,12.75693514,12.75693514,11.58886649,12.75693514,5.402417979,11.58886649,11.58886649,10.79290051,13.2559216
728429,14.97936301,14.97936301,14.97936301,14.97936301,14.97936301,13.86194248,14.97936301,7.021986823,13.86194248,13.86194248,13.07897522,15.74933157
728439,15.00908651,15.00908651,15.00908651,15.00908651,15.00908651,13.73290289,15.00908651,7.435608715,13.73290289,13.73290289,12.91715673,15.70868532
728450,18.61970409,18.61970409,18.61970409,18.61970409,18.61970409,17.32627402,18.61970409,10.17270987,17.32627402,17.32627402,16.53756858,19.09644051
728460,18.57444282,18.57444282,18.57444282,18.57444282,18.57444282,17.69111615,18.57444282,9.97521147,17.69111615,17.69111615,17.1519625,18.98735675
728470,21.4568772,21.4568772,21.4568772,21.4568772,21.4568772,20.13651287,21.4568772,12.95730262,20.13651287,20.13651287,19.14732284,22.33651504
728480,21.72048164,21.72048164,21.72048164,21.72048164,21.72048164,20.58596372,21.72048164,13.70484548,20.58596372,20.58596372,19.92595721,22.68203477
728490,19.8734354,19.8734354,19.8734354,19.8734354,19.8734354,18.7940156,19.8734354,12.79634113,18.7940156,18.7940156,18.17341509,20.56072748
728500,20.22831824,20.22831824,20.22831824,20.22831824,20.22831824,19.03549243,20.22831824,13.36764024,19.03549243,19.03549243,18.47429101,21.25554626
728511,20.71911265,20.71911265,20.71911265,20.71911265,20.71911265,19.30933828,20.71911265,12.85823138,19.30933828,19.30933828,18.54381973,21.76925608
728521,20.7938845,20.7938845,20.7938845,20.7938845,20.7938845,19.48019518,20.7938845,12.88879591,19.48019518,19.48019518,18.80039785,21.80942326
728531,19.6724398,19.6724398,19.6724398,19.6724398,19.6724398,18.60832356,19.6724398,12.03641703,18.60832356,18.60832356,18.38635544,20.37097402
728542,13.26277227,13.26277227,13.26277227,13.26277227,13.26277227,12.33793172,13.26277227,7.361592726,12.33793172,12.33793172,11.98058433,13.98870917
728552,10.60687845,10.60687845,10.60687845,10.60687845,10.60687845,10.01256812,10.60687845,4.577585503,10.01256812,10.01256812,9.933639024,10.97254032
728562,12.64170334,12.64170334,12.64170334,12.64170334,12.64170334,11.43042277,12.64170334,4.375402885,11.43042277,11.43042277,10.92405865,13.19432412
728572,11.54618154,11.54618154,11.54618154,11.54618154,11.54618154,9.898683037,11.54618154,3.365368085,9.898683037,9.898683037,9.00914978,12.16192217
728582,8.731024256,8.731024256,8.731024256,8.731024256,8.731024256,7.256432002,8.731024256,1.324922133,7.256432002,7.256432002,6.214017536,9.144816484
728592,4.331408484,4.331408484,4.331408484,4.331408484,4.331408484,3.573682773,4.331408484,-0.356590189,3.573682773,3.573682773,3.293587747,4.533734822
728603,7.675845293,7.675845293,7.675845293,7.675845293,7.675845293,6.585183367,7.675845293,1.628986522,6.585183367,6.585183367,5.837757616,7.705941402
728613,4.152551149,4.152551149,4.152551149,4.152551149,4.152551149,2.778845269,4.152551149,-3.832754698,2.778845269,2.778845269,1.138255991,4.702712713
728623,4.043584496,4.043584496,4.043584496,4.043584496,4.043584496,2.15192106,4.043584496,-4.486964485,2.15192106,2.15192106,0.635229385,4.644862603
728633,-1.474718673,-1.474718673,-1.474718673,-1.474718673,-1.474718673,-2.65789393,-1.474718673,-8.715643511,-2.65789393,-2.65789393,-3.763194041,-1.345434219
728643,-1.924989259,-1.924989259,-1.924989259,-1.924989259,-1.924989259,-3.750897965,-1.924989259,-10.72423677,-3.750897965,-3.750897965,-4.949882463,-1.331732877
728653,-6.302514678,-6.302514678,-6.302514678,-6.302514678,-6.302514678,-7.022926324,-6.302514678,-11.24724051,-7.022926324,-7.022926324,-7.304671472,-6.10700175
728664,-5.763999787,-5.763999787,-5.763999787,-5.763999787,-5.763999787,-7.213824232,-5.763999787,-13.4591768,-7.213824232,-7.213824232,-8.336748718,-5.602745536
728674,-6.113149788,-6.113149788,-6.113149788,-6.113149788,-6.113149788,-7.352886994,-6.113149788,-12.34854839,-7.352886994,-7.352886994,-8.161324703,-5.527563815
728684,-5.03351707,-5.03351707,-5.03351707,-5.03351707,-5.03351707,-6.376823431,-5.03351707,-12.69008653,-6.376823431,-6.376823431,-7.263844242,-4.693325639
728695,0.517538373,0.517538373,0.517538373,0.517538373,0.517538373,-1.335714463,0.517538373,-6.988220517,-1.335714463,-1.335714463,-2.175477889,1.360405094
728705,-3.498652753,-3.498652753,-3.498652753,-3.498652753,-3.498652753,-4.520573758,-3.498652753,-10.25464378,-4.520573758,-4.520573758,-5.30260418,-3.036203196
728715,-1.916162433,-1.916162433,-1.916162433,-1.916162433,-1.916162433,-3.066065095,-1.916162433,-10.54690979,-3.066065095,-3.066065095,-4.085102378,-1.623325532
728723,0.231039807,0.231039807,0.231039807,0.231039807,0.231039807,-0.442550937,0.231039807,-7.291289509,-0.442550937,-0.442550937,-0.78086868,0.588504297
728733,2.353986573,2.353986573,2.353986573,2.353986573,2.353986573,1.467322401,2.353986573,-4.636508188,1.467322401,1.467322401,1.024488013,2.840735517
728743,5.284274515,5.284274515,5.284274515,5.284274515,5.284274515,4.447555832,5.284274515,-1.184419501,4.447555832,4.447555832,3.948846159,5.49873724
728754,6.78297453,6.78297453,6.78297453,6.78297453,6.78297453,5.675098099,6.78297453,-0.319765837,5.675098099,5.675098099,5.01485738,7.144537712
728764,9.089074273,9.089074273,9.089074273,9.089074273,9.089074273,7.572558256,9.089074273,1.497359958,7.572558256,7.572558256,6.899728697,9.770276874
728774,12.03129101,12.03129101,12.03129101,12.03129101,12.03129101,10.44234525,12.03129101,3.436275456,10.44234525,10.44234525,9.609081175,12.44988456
