T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 2.58 ,0, 1.63857142857 0.941428571429
1993-01-19 00:1080 , 2.5 ,0, 1.61714285714 0.882857142857
1993-01-29 00:1080 , 2.5 ,0, 1.58571428571 0.914285714286
1993-02-09 00:1080 , 2.5 ,0, 1.53 0.97
1993-02-20 00:1080 , 2.45 ,0, 1.50571428571 0.944285714286
1993-03-00 00:1080 , 2.49 ,0, 1.49714285714 0.992857142857
1993-03-10 00:1080 , 3.1 ,0, 1.74285714286 1.35714285714
1993-03-20 00:1080 , 3.3 ,0, 2.21571428571 1.08428571429
1993-04-00 00:1080 , 3.41 ,0, 3.85714285714 -0.447142857143
1993-04-10 00:1080 , 5.91 ,0, 4.54428571429 1.36571428571
1993-04-21 00:1080 , 9.22 ,0, 7.79714285714 1.42285714286
1993-05-01 00:1080 , 14.4 ,0, 9.81571428571 4.58428571429
1993-05-11 00:1080 , 18.2 ,0, 14.2 4.0
1993-05-21 00:1080 , 22.1 ,0, 17.4714285714 4.62857142857
1993-06-01 00:1080 , 21.6 ,0, 20.2428571429 1.35714285714
1993-06-11 00:1080 , 21.7 ,0, 21.3714285714 0.328571428571
1993-06-22 00:1080 , 20.1 ,0, 22.4571428571 -2.35714285714
1993-07-02 00:1080 , 15.8 ,0, 18.7571428571 -2.95714285714
1993-07-12 00:1080 , 12.4 ,0, 15.5285714286 -3.12857142857
1993-07-23 00:1080 , 12.5 ,0, 11.6428571429 0.857142857143
1993-08-03 00:1080 , 10.4 ,0, 9.48 0.92
1993-08-13 00:1080 , 7.82 ,0, 7.43714285714 0.382857142857
1993-08-23 00:1080 , 6.11 ,0, 5.47714285714 0.632857142857
1993-09-03 00:1080 , 4.97 ,0, 4.20142857143 0.768571428571
1993-09-13 00:1080 , 4.15 ,0, 3.54714285714 0.602857142857
1993-09-24 00:1080 , 3.53 ,0, 3.07571428571 0.454285714286
1993-10-04 00:1080 , 3.26 ,0, 2.73428571429 0.525714285714
1993-10-14 00:1080 , 3.0 ,0, 2.49428571429 0.505714285714
1993-10-24 00:1080 , 2.87 ,0, 2.28 0.59
1993-11-04 00:1080 , 2.82 ,0, 2.10142857143 0.718571428571
1993-11-14 00:1080 , 2.74 ,0, 1.97571428571 0.764285714286
1993-11-25 00:1080 , 2.86 ,0, 1.97428571429 0.885714285714
1994-00-00 00:720 , 2.72 ,0, 1.99571428571 0.724285714286
1994-00-10 00:720 , 2.38 ,0, 1.94142857143 0.438571428571
1994-00-21 00:720 , 2.38 ,0, 1.9 0.48
1994-01-01 00:720 , 2.45 ,0, 1.86142857143 0.588571428571
1994-01-11 00:720 , 2.47 ,0, 1.79571428571 0.674285714286
1994-01-19 00:720 , 2.38 ,0, 1.76285714286 0.617142857143
1994-01-29 00:720 , 2.38 ,0, 1.73142857143 0.648571428571
1994-02-09 00:720 , 2.4 ,0, 1.68 0.72
1994-02-20 00:720 , 2.66 ,0, 1.64714285714 1.01285714286
1994-03-00 00:720 , 2.59 ,0, 1.65142857143 0.938571428571
1994-03-10 00:720 , 1.68 ,0, 1.98 -0.3
1994-03-20 00:720 , 2.51 ,0, 2.38714285714 0.122857142857
1994-04-00 00:720 , 4.46 ,0, 4.00714285714 0.452857142857
1994-04-10 00:720 , 5.77 ,0, 5.09428571429 0.675714285714
1994-04-21 00:720 , 12.7 ,0, 8.52571428571 4.17428571429
1994-05-01 00:720 , 14.1 ,0, 10.9928571429 3.10714285714
1994-05-11 00:720 , 20.1 ,0, 14.9285714286 5.17142857143
1994-05-21 00:720 , 23.9 ,0, 17.9 6.0
1994-06-01 00:720 , 23.5 ,0, 20.3428571429 3.15714285714
1994-06-11 00:720 , 21.1 ,0, 20.9857142857 0.114285714286
1994-06-22 00:720 , 23.3 ,0, 21.6 1.7
1994-07-02 00:720 , 18.5 ,0, 18.1571428571 0.342857142857
1994-07-12 00:720 , 18.9 ,0, 14.9857142857 3.91428571429
1994-07-23 00:720 , 13.0 ,0, 11.9428571429 1.05714285714
1994-08-03 00:720 , 8.14 ,0, 9.61285714286 -1.47285714286
1994-08-13 00:720 , 5.9 ,0, 7.53 -1.63
1994-08-23 00:720 , 4.76 ,0, 5.64 -0.88
1994-09-03 00:720 , 3.97 ,0, 4.36857142857 -0.398571428571
1994-09-13 00:720 , 3.53 ,0, 3.71571428571 -0.185714285714
1994-09-24 00:720 , 3.25 ,0, 3.20857142857 0.0414285714286
1994-10-04 00:720 , 2.78 ,0, 2.85 -0.07
1994-10-14 00:720 , 2.62 ,0, 2.61285714286 0.00714285714286
1994-10-24 00:720 , 2.37 ,0, 2.41285714286 -0.0428571428571
1994-11-04 00:720 , 2.16 ,0, 2.23 -0.07
1994-11-14 00:720 , 2.15 ,0, 2.1 0.05
1994-11-25 00:720 , 2.15 ,0, 2.12857142857 0.0214285714286
1995-00-00 00:360 , 2.17 ,0, 2.13 0.04
1995-00-10 00:360 , 2.2 ,0, 2.03285714286 0.167142857143
1995-00-21 00:360 , 2.18 ,0, 2.01285714286 0.167142857143
1995-01-01 00:360 , 2.18 ,0, 2.01142857143 0.168571428571
1995-01-11 00:360 , 2.18 ,0, 1.94857142857 0.231428571429
1995-01-19 00:360 , 2.14 ,0, 1.90428571429 0.235714285714
1995-01-29 00:360 , 2.13 ,0, 1.88571428571 0.244285714286
1995-02-09 00:360 , 2.12 ,0, 1.83714285714 0.282857142857
1995-02-20 00:360 , 2.12 ,0, 1.84142857143 0.278571428571
1995-03-00 00:360 , 2.08 ,0, 1.83285714286 0.247142857143
1995-03-10 00:360 , 2.05 ,0, 1.95857142857 0.0914285714286
1995-03-20 00:360 , 2.65 ,0, 2.46857142857 0.181428571429
1995-04-00 00:360 , 4.14 ,0, 3.81714285714 0.322857142857
1995-04-10 00:360 , 5.11 ,0, 4.80857142857 0.301428571429
1995-04-21 00:360 , 4.76 ,0, 8.32571428571 -3.56571428571
1995-05-01 00:360 , 8.19 ,0, 11.4214285714 -3.23142857143
1995-05-11 00:360 , 13.1 ,0, 15.9428571429 -2.84285714286
1995-05-21 00:360 , 17.7 ,0, 17.8428571429 -0.142857142857
1995-06-01 00:360 , 20.1 ,0, 20.5571428571 -0.457142857143
1995-06-11 00:360 , 20.3 ,0, 20.3285714286 -0.0285714285714
1995-06-22 00:360 , 19.3 ,0, 21.9142857143 -2.61428571429
1995-07-02 00:360 , 21.4 ,0, 17.2 4.2
1995-07-12 00:360 , 18.7 ,0, 14.6285714286 4.07142857143
1995-07-23 00:360 , 12.1 ,0, 11.7714285714 0.328571428571
1995-08-03 00:360 , 8.56 ,0, 9.56857142857 -1.00857142857
1995-08-13 00:360 , 8.85 ,0, 7.52428571429 1.32571428571
1995-08-23 00:360 , 7.79 ,0, 5.63428571429 2.15571428571
1995-09-03 00:360 , 6.33 ,0, 4.36714285714 1.96285714286
1995-09-13 00:360 , 4.34 ,0, 3.71142857143 0.628571428571
1995-09-24 00:360 , 3.66 ,0, 3.24857142857 0.411428571429
1995-10-04 00:360 , 3.19 ,0, 2.87428571429 0.315714285714
1995-10-14 00:360 , 2.74 ,0, 2.63142857143 0.108571428571
1995-10-24 00:360 , 2.53 ,0, 2.39857142857 0.131428571429
1995-11-04 00:360 , 2.53 ,0, 2.21714285714 0.312857142857
1995-11-14 00:360 , 2.53 ,0, 2.10428571429 0.425714285714
1995-11-25 00:360 , 2.53 ,0, 2.15142857143 0.378571428571
1996-00-00 00:00 , 2.4 ,0, 2.15857142857 0.241428571429
1996-00-10 00:00 , 2.31 ,0, 2.10428571429 0.205714285714
1996-00-21 00:00 , 2.2 ,0, 2.09 0.11
1996-01-01 00:00 , 2.15 ,0, 2.09428571429 0.0557142857143
1996-01-11 00:00 , 2.1 ,0, 2.04142857143 0.0585714285714
1996-01-20 00:00 , 1.94 ,0, 1.99428571429 -0.0542857142857
1996-02-00 00:00 , 1.94 ,0, 1.97428571429 -0.0342857142857
1996-02-10 00:00 , 1.94 ,0, 1.92857142857 0.0114285714286
1996-02-21 00:00 , 1.92 ,0, 1.94285714286 -0.0228571428571
1996-03-01 00:00 , 1.78 ,0, 1.90571428571 -0.125714285714
1996-03-11 00:00 , 1.76 ,0, 1.88 -0.12
1996-03-21 00:00 , 1.64 ,0, 2.26428571429 -0.624285714286
1996-04-01 00:00 , 2.09 ,0, 3.83857142857 -1.74857142857
1996-04-11 00:00 , 4.67 ,0, 4.89 -0.22
1996-04-22 00:00 , 5.65 ,0, 8.07714285714 -2.42714285714
1996-05-02 00:00 , 13.3 ,0, 10.7771428571 2.52285714286
1996-05-12 00:00 , 12.2 ,0, 14.7 -2.5
1996-05-22 00:00 , 14.9 ,0, 17.8 -2.9
1996-06-02 00:00 , 16.1 ,0, 20.3285714286 -4.22857142857
1996-06-12 00:00 , 16.7 ,0, 20.3571428571 -3.65714285714
1996-06-23 00:00 , 23.5 ,0, 22.1285714286 1.37142857143
1996-07-03 00:00 , 21.9 ,0, 18.0571428571 3.84285714286
1996-07-13 00:00 , 13.2 ,0, 15.7142857143 -2.51428571429
1996-07-24 00:00 , 9.49 ,0, 12.2071428571 -2.71714285714
1996-08-04 00:00 , 7.89 ,0, 9.6 -1.71
1996-08-14 00:00 , 8.79 ,0, 7.86 0.93
1996-08-24 00:00 , 6.21 ,0, 6.08 0.13
1996-09-04 00:00 , 4.76 ,0, 4.70142857143 0.0585714285714
1996-09-14 00:00 , 3.85 ,0, 3.84571428571 0.00428571428571
1996-09-25 00:00 , 3.33 ,0, 3.31571428571 0.0142857142857
1996-10-05 00:00 , 2.73 ,0, 2.90571428571 -0.175714285714
1996-10-15 00:00 , 2.51 ,0, 2.66142857143 -0.151428571429
1996-10-25 00:00 , 2.45 ,0, 2.42428571429 0.0257142857143
1996-11-05 00:00 , 2.08 ,0, 2.28 -0.2
1996-11-15 00:00 , 1.94 ,0, 2.19571428571 -0.255714285714
1996-11-26 00:00 , 1.78 ,0, 2.24 -0.46
1997-00-00 00:1080 , 1.79 ,0, 2.22857142857 -0.438571428571
1997-00-10 00:1080 , 1.7 ,0, 2.16285714286 -0.462857142857
1997-00-21 00:1080 , 1.69 ,0, 2.13285714286 -0.442857142857
1997-01-01 00:1080 , 1.63 ,0, 2.14285714286 -0.512857142857
1997-01-11 00:1080 , 1.47 ,0, 2.11571428571 -0.645714285714
1997-01-19 00:1080 , 1.43 ,0, 2.04857142857 -0.618571428571
1997-01-29 00:1080 , 1.42 ,0, 2.03714285714 -0.617142857143
1997-02-09 00:1080 , 1.33 ,0, 2.00857142857 -0.678571428571
1997-02-20 00:1080 , 1.32 ,0, 2.02 -0.7
1997-03-00 00:1080 , 1.25 ,0, 1.97 -0.72
1997-03-10 00:1080 , 2.32 ,0, 1.94571428571 0.374285714286
1997-03-20 00:1080 , 4.32 ,0, 2.25285714286 2.06714285714
1997-04-00 00:1080 , 3.79 ,0, 3.8 -0.01
1997-04-10 00:1080 , 7.24 ,0, 5.06714285714 2.17285714286
1997-04-21 00:1080 , 16.4 ,0, 8.07714285714 8.32285714286
1997-05-01 00:1080 , 12.4 ,0, 11.9271428571 0.472857142857
1997-05-11 00:1080 , 15.6 ,0, 15.3428571429 0.257142857143
1997-05-21 00:1080 , 17.8 ,0, 18.4142857143 -0.614285714286
1997-06-01 00:1080 , 23.5 ,0, 20.5857142857 2.91428571429
1997-06-11 00:1080 , 24.1 ,0, 20.2285714286 3.87142857143
1997-06-22 00:1080 , 18.0 ,0, 22.4428571429 -4.44285714286
1997-07-02 00:1080 , 19.4 ,0, 18.8714285714 0.528571428571
1997-07-12 00:1080 , 16.4 ,0, 15.6142857143 0.785714285714
1997-07-23 00:1080 , 12.5 ,0, 12.37 0.13
1997-08-03 00:1080 , 9.54 ,0, 9.66285714286 -0.122857142857
1997-08-13 00:1080 , 7.52 ,0, 8.14857142857 -0.628571428571
1997-08-23 00:1080 , 5.94 ,0, 6.31857142857 -0.378571428571
1997-09-03 00:1080 , 5.04 ,0, 4.82285714286 0.217142857143
1997-09-13 00:1080 , 4.04 ,0, 3.91428571429 0.125714285714
1997-09-24 00:1080 , 3.55 ,0, 3.36142857143 0.188571428571
1997-10-04 00:1080 , 3.04 ,0, 2.95285714286 0.0871428571429
1997-10-14 00:1080 , 2.71 ,0, 2.71285714286 -0.00285714285714
1997-10-24 00:1080 , 2.48 ,0, 2.46714285714 0.0128571428571
1997-11-04 00:1080 , 2.1 ,0, 2.3 -0.2
1997-11-14 00:1080 , 2.07 ,0, 2.20857142857 -0.138571428571
1997-11-25 00:1080 , 1.97 ,0, 2.24285714286 -0.272857142857
1998-00-00 00:720 , 1.95 ,0, 2.23571428571 -0.285714285714
1998-00-10 00:720 , 1.86 ,0, 2.16857142857 -0.308571428571
1998-00-21 00:720 , 1.45 ,0, 2.13857142857 -0.688571428571
1998-01-01 00:720 , 1.23 ,0, 2.14 -0.91
1998-01-11 00:720 , 1.21 ,0, 2.09714285714 -0.887142857143
1998-01-19 00:720 , 1.15 ,0, 2.02714285714 -0.877142857143
1998-01-29 00:720 , 1.14 ,0, 2.01428571429 -0.874285714286
1998-02-09 00:720 , 1.14 ,0, 1.97857142857 -0.838571428571
1998-02-20 00:720 , 1.14 ,0, 1.99428571429 -0.854285714286
1998-03-00 00:720 , 1.14 ,0, 1.93428571429 -0.794285714286
1998-03-10 00:720 , 1.09 ,0, 2.06285714286 -0.972857142857
1998-03-20 00:720 , 1.12 ,0, 2.57285714286 -1.45285714286
1998-04-00 00:720 , 1.84 ,0, 3.49571428571 -1.65571428571
1998-04-10 00:720 , 3.64 ,0, 5.29142857143 -1.65142857143
1998-04-21 00:720 , 6.85 ,0, 8.87714285714 -2.02714285714
1998-05-01 00:720 , 8.81 ,0, 11.8128571429 -3.00285714286
1998-05-11 00:720 , 15.9 ,0, 14.5 1.4
1998-05-21 00:720 , 20.6 ,0, 18.0142857143 2.58571428571
1998-06-01 00:720 , 21.3 ,0, 21.7428571429 -0.442857142857
1998-06-11 00:720 , 19.8 ,0, 21.1142857143 -1.31428571429
1998-06-22 00:720 , 20.7 ,0, 21.3571428571 -0.657142857143
1998-07-02 00:720 , 21.4 ,0, 18.8428571429 2.55714285714
1998-07-12 00:720 , 14.8 ,0, 15.7571428571 -0.957142857143
1998-07-23 00:720 , 14.3 ,0, 12.3128571429 1.98714285714
