T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 0.67 ,0, 0.601666666667 0.0683333333333
1993-01-19 00:1080 , 0.61 ,0, 0.696666666667 -0.0866666666667
1993-01-29 00:1080 , 0.77 ,0, 0.661666666667 0.108333333333
1993-02-09 00:1080 , 0.58 ,0, 0.693333333333 -0.113333333333
1993-02-20 00:1080 , 0.45 ,0, 0.676666666667 -0.226666666667
1993-03-00 00:1080 , 0.63 ,0, 0.728333333333 -0.0983333333333
1993-03-10 00:1080 , 1.17 ,0, 0.878333333333 0.291666666667
1993-03-20 00:1080 , 1.47 ,0, 1.16833333333 0.301666666667
1993-04-00 00:1080 , 1.42 ,0, 2.04666666667 -0.626666666667
1993-04-10 00:1080 , 3.63 ,0, 2.565 1.065
1993-04-21 00:1080 , 4.9 ,0, 3.76166666667 1.13833333333
1993-05-01 00:1080 , 6.0 ,0, 4.225 1.775
1993-05-11 00:1080 , 7.41 ,0, 5.49333333333 1.91666666667
1993-05-21 00:1080 , 8.29 ,0, 6.24166666667 2.04833333333
1993-06-01 00:1080 , 8.85 ,0, 7.15833333333 1.69166666667
1993-06-11 00:1080 , 9.13 ,0, 6.79833333333 2.33166666667
1993-06-22 00:1080 , 7.15 ,0, 6.235 0.915
1993-07-02 00:1080 , 6.56 ,0, 5.98333333333 0.576666666667
1993-07-12 00:1080 , 5.0 ,0, 5.305 -0.305
1993-07-23 00:1080 , 4.06 ,0, 4.34333333333 -0.283333333333
1993-08-03 00:1080 , 3.74 ,0, 3.515 0.225
1993-08-13 00:1080 , 3.06 ,0, 2.91666666667 0.143333333333
1993-08-23 00:1080 , 2.67 ,0, 2.41833333333 0.251666666667
1993-09-03 00:1080 , 2.74 ,0, 2.1 0.64
1993-09-13 00:1080 , 2.14 ,0, 1.86333333333 0.276666666667
1993-09-24 00:1080 , 1.7 ,0, 1.635 0.065
1993-10-04 00:1080 , 1.63 ,0, 1.52333333333 0.106666666667
1993-10-14 00:1080 , 1.53 ,0, 1.40166666667 0.128333333333
1993-10-24 00:1080 , 1.36 ,0, 1.20166666667 0.158333333333
1993-11-04 00:1080 , 1.24 ,0, 1.135 0.105
1993-11-14 00:1080 , 1.19 ,0, 1.025 0.165
