T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 2.48 ,0, 2.03 0.45
1993-01-19 00:1080 , 2.46 ,0, 2.00875 0.45125
1993-01-29 00:1080 , 2.45 ,0, 1.99125 0.45875
1993-02-09 00:1080 , 2.43 ,0, 1.975 0.455
1993-02-20 00:1080 , 2.39 ,0, nan nan
1993-03-00 00:1080 , 2.57 ,0, nan nan
1993-03-10 00:1080 , 3.25 ,0, nan nan
1993-03-20 00:1080 , 3.28 ,0, nan nan
1993-04-00 00:1080 , 2.92 ,0, nan nan
1993-04-10 00:1080 , 5.7 ,0, 6.21625 -0.51625
1993-04-21 00:1080 , 12.2 ,0, 9.93375 2.26625
1993-05-01 00:1080 , 16.8 ,0, 12.01375 4.78625
1993-05-11 00:1080 , 20.3 ,0, 15.04375 5.25625
1993-05-21 00:1080 , 18.5 ,0, 15.83625 2.66375
1993-06-01 00:1080 , 19.4 ,0, 16.325 3.075
1993-06-11 00:1080 , 16.8 ,0, 16.1125 0.6875
1993-06-22 00:1080 , 13.2 ,0, 14.85 -1.65
1993-07-02 00:1080 , 9.11 ,0, 11.1175 -2.0075
1993-07-12 00:1080 , 8.78 ,0, 9.63375 -0.85375
1993-07-23 00:1080 , 9.81 ,0, 7.9675 1.8425
1993-08-03 00:1080 , 7.83 ,0, 6.43375 1.39625
1993-08-13 00:1080 , 6.43 ,0, 5.2425 1.1875
1993-08-23 00:1080 , 4.94 ,0, 4.4725 0.4675
1993-09-03 00:1080 , 4.54 ,0, 4.0575 0.4825
1993-09-13 00:1080 , 3.95 ,0, 3.67125 0.27875
1993-09-24 00:1080 , 3.4 ,0, 3.335 0.065
1993-10-04 00:1080 , 2.88 ,0, 3.165 -0.285
1993-10-14 00:1080 , 2.72 ,0, 2.97 -0.25
1993-10-24 00:1080 , 2.78 ,0, 2.8575 -0.0775
1993-11-04 00:1080 , 2.94 ,0, 2.725375 0.214625
1993-11-14 00:1080 , 2.99 ,0, 2.4425 0.5475
1993-11-25 00:1080 , 2.85 ,0, 2.4725 0.3775
1994-00-00 00:720 , 2.88 ,0, 2.43875 0.44125
1994-00-10 00:720 , 2.7 ,0, 2.41375 0.28625
1994-00-21 00:720 , 2.49 ,0, 2.21875 0.27125
1994-01-01 00:720 , 2.26 ,0, 2.1125 0.1475
1994-01-11 00:720 , 2.4 ,0, 2.10625 0.29375
1994-01-19 00:720 , 2.23 ,0, 2.0825 0.1475
1994-01-29 00:720 , 2.23 ,0, 2.06375 0.16625
1994-02-09 00:720 , 2.17 ,0, 2.045 0.125
1994-02-20 00:720 , 2.34 ,0, nan nan
1994-03-00 00:720 , 2.37 ,0, nan nan
1994-03-10 00:720 , 2.83 ,0, nan nan
1994-03-20 00:720 , 3.52 ,0, nan nan
1994-04-00 00:720 , 6.55 ,0, nan nan
1994-04-10 00:720 , 8.82 ,0, 6.21 2.61
1994-04-21 00:720 , 12.7 ,0, 10.71375 1.98625
1994-05-01 00:720 , 12.8 ,0, 12.63875 0.16125
1994-05-11 00:720 , 17.4 ,0, 16.10625 1.29375
1994-05-21 00:720 , 20.5 ,0, 16.62375 3.87625
1994-06-01 00:720 , 16.0 ,0, 17.175 -1.175
1994-06-11 00:720 , 13.7 ,0, 16.6125 -2.9125
1994-06-22 00:720 , 13.9 ,0, 14.95 -1.05
1994-07-02 00:720 , 11.3 ,0, 10.96875 0.33125
1994-07-12 00:720 , 10.4 ,0, 9.66375 0.73625
1994-07-23 00:720 , 7.07 ,0, 8.385 -1.315
1994-08-03 00:720 , 5.52 ,0, 6.76875 -1.24875
1994-08-13 00:720 , 4.85 ,0, 5.54625 -0.69625
1994-08-23 00:720 , 4.47 ,0, 4.5975 -0.1275
1994-09-03 00:720 , 4.05 ,0, 4.125 -0.075
1994-09-13 00:720 , 3.83 ,0, 3.685 0.145
1994-09-24 00:720 , 3.75 ,0, 3.38875 0.36125
1994-10-04 00:720 , 3.75 ,0, 3.19125 0.55875
1994-10-14 00:720 , 3.72 ,0, 3.0025 0.7175
1994-10-24 00:720 , 3.49 ,0, 2.9025 0.5875
1994-11-04 00:720 , 3.05 ,0, 2.80125 0.24875
1994-11-14 00:720 , 3.06 ,0, 2.54625 0.51375
1994-11-25 00:720 , 2.98 ,0, 2.57125 0.40875
1995-00-00 00:360 , 2.88 ,0, 2.54125 0.33875
1995-00-10 00:360 , 2.79 ,0, 2.52125 0.26875
1995-00-21 00:360 , 2.56 ,0, 2.30375 0.25625
1995-01-01 00:360 , 2.71 ,0, 2.16875 0.54125
1995-01-11 00:360 , 2.61 ,0, 2.18 0.43
1995-01-19 00:360 , 2.38 ,0, 2.135 0.245
1995-01-29 00:360 , 2.48 ,0, 2.11625 0.36375
1995-02-09 00:360 , 2.43 ,0, 2.09 0.34
1995-02-20 00:360 , 2.38 ,0, nan nan
1995-03-00 00:360 , 2.25 ,0, nan nan
1995-03-10 00:360 , 2.25 ,0, nan nan
1995-03-20 00:360 , 3.03 ,0, nan nan
1995-04-00 00:360 , 5.25 ,0, nan nan
1995-04-10 00:360 , 4.63 ,0, 6.88625 -2.25625
1995-04-21 00:360 , 6.24 ,0, 11.6175 -5.3775
1995-05-01 00:360 , 9.17 ,0, 13.3975 -4.2275
1995-05-11 00:360 , 14.3 ,0, 16.38125 -2.08125
1995-05-21 00:360 , 17.2 ,0, 16.98625 0.21375
1995-06-01 00:360 , 17.3 ,0, 17.3 0.0
1995-06-11 00:360 , 15.4 ,0, 16.75 -1.35
1995-06-22 00:360 , 12.8 ,0, 14.8375 -2.0375
1995-07-02 00:360 , 12.4 ,0, 10.98125 1.41875
1995-07-12 00:360 , 10.4 ,0, 9.8225 0.5775
1995-07-23 00:360 , 5.2 ,0, 8.4725 -3.2725
1995-08-03 00:360 , 4.99 ,0, 6.7625 -1.7725
1995-08-13 00:360 , 4.96 ,0, 5.51875 -0.55875
1995-08-23 00:360 , 4.06 ,0, 4.665 -0.605
1995-09-03 00:360 , 3.61 ,0, 4.21 -0.6
1995-09-13 00:360 , 3.08 ,0, 3.7975 -0.7175
1995-09-24 00:360 , 3.08 ,0, 3.50875 -0.42875
1995-10-04 00:360 , 2.78 ,0, 3.36125 -0.58125
1995-10-14 00:360 , 2.58 ,0, 3.1925 -0.6125
1995-10-24 00:360 , 2.58 ,0, 3.05375 -0.47375
1995-11-04 00:360 , 2.58 ,0, 2.90625 -0.32625
1995-11-14 00:360 , 2.54 ,0, 2.65125 -0.11125
1995-11-25 00:360 , 2.44 ,0, 2.675 -0.235
1996-00-00 00:00 , 2.44 ,0, 2.6325 -0.1925
1996-00-10 00:00 , 2.44 ,0, 2.60125 -0.16125
1996-00-21 00:00 , 2.4 ,0, 2.355 0.045
1996-01-01 00:00 , 2.3 ,0, 2.23875 0.06125
1996-01-11 00:00 , 2.21 ,0, 2.2375 -0.0275
1996-01-20 00:00 , 2.18 ,0, 2.16375 0.01625
1996-02-00 00:00 , 2.01 ,0, 2.1575 -0.1475
1996-02-10 00:00 , 1.87 ,0, 2.125 -0.255
1996-02-21 00:00 , 1.76 ,0, nan nan
1996-03-01 00:00 , 2.34 ,0, nan nan
1996-03-11 00:00 , 3.22 ,0, nan nan
1996-03-21 00:00 , 2.39 ,0, nan nan
1996-04-01 00:00 , 2.98 ,0, nan nan
1996-04-11 00:00 , 4.99 ,0, 6.4375 -1.4475
1996-04-22 00:00 , 8.69 ,0, 10.4725 -1.7825
1996-05-02 00:00 , 18.4 ,0, 12.99375 5.40625
1996-05-12 00:00 , 16.5 ,0, 16.33125 0.16875
1996-05-22 00:00 , 19.4 ,0, 16.28625 3.11375
1996-06-02 00:00 , 20.0 ,0, 17.05 2.95
1996-06-12 00:00 , 19.4 ,0, 16.0375 3.3625
1996-06-23 00:00 , 20.2 ,0, 14.7125 5.4875
1996-07-03 00:00 , 16.2 ,0, 10.95625 5.24375
1996-07-13 00:00 , 9.57 ,0, 9.56 0.01
1996-07-24 00:00 , 7.32 ,0, 8.0225 -0.7025
1996-08-04 00:00 , 7.18 ,0, 6.66375 0.51625
1996-08-14 00:00 , 4.49 ,0, 5.4625 -0.9725
1996-08-24 00:00 , 5.06 ,0, 4.63 0.43
1996-09-04 00:00 , 4.33 ,0, 4.11875 0.21125
1996-09-14 00:00 , 3.86 ,0, 3.6625 0.1975
1996-09-25 00:00 , 3.65 ,0, 3.4225 0.2275
1996-10-05 00:00 , 3.15 ,0, 3.26625 -0.11625
1996-10-15 00:00 , 3.2 ,0, 3.09 0.11
1996-10-25 00:00 , 3.07 ,0, 2.9625 0.1075
1996-11-05 00:00 , 2.96 ,0, 2.8175 0.1425
1996-11-15 00:00 , 2.77 ,0, 2.58875 0.18125
1996-11-26 00:00 , 2.85 ,0, 2.62375 0.22625
1997-00-00 00:1080 , 2.78 ,0, 2.58125 0.19875
1997-00-10 00:1080 , 2.73 ,0, 2.55 0.18
1997-00-21 00:1080 , 2.79 ,0, 2.29875 0.49125
1997-01-01 00:1080 , 2.63 ,0, 2.17 0.46
1997-01-11 00:1080 , 2.56 ,0, 2.1575 0.4025
1997-01-19 00:1080 , 2.54 ,0, 2.08 0.46
1997-01-29 00:1080 , 2.45 ,0, 2.0525 0.3975
1997-02-09 00:1080 , 2.46 ,0, 2.0025 0.4575
1997-02-20 00:1080 , 2.57 ,0, nan nan
1997-03-00 00:1080 , 2.75 ,0, nan nan
1997-03-10 00:1080 , 5.71 ,0, nan nan
1997-03-20 00:1080 , 7.68 ,0, nan nan
1997-04-00 00:1080 , 4.59 ,0, nan nan
1997-04-10 00:1080 , 12.1 ,0, 6.42625 5.67375
1997-04-21 00:1080 , 20.6 ,0, 10.4275 10.1725
1997-05-01 00:1080 , 14.3 ,0, 13.19375 1.10625
1997-05-11 00:1080 , 15.1 ,0, 15.49375 -0.39375
1997-05-21 00:1080 , 14.2 ,0, 16.82375 -2.62375
1997-06-01 00:1080 , 17.8 ,0, 17.0625 0.7375
1997-06-11 00:1080 , 17.9 ,0, 16.6125 1.2875
1997-06-22 00:1080 , 12.7 ,0, 15.75 -3.05
1997-07-02 00:1080 , 13.7 ,0, 11.76625 1.93375
1997-07-12 00:1080 , 11.4 ,0, 9.73 1.67
1997-07-23 00:1080 , 8.68 ,0, 7.99375 0.68625
1997-08-03 00:1080 , 6.69 ,0, 6.8825 -0.1925
1997-08-13 00:1080 , 5.86 ,0, 5.415 0.445
1997-08-23 00:1080 , 4.94 ,0, 4.70625 0.23375
1997-09-03 00:1080 , 4.29 ,0, 4.16 0.13
1997-09-13 00:1080 , 3.69 ,0, 3.67625 0.01375
1997-09-24 00:1080 , 3.32 ,0, 3.41375 -0.09375
1997-10-04 00:1080 , 3.05 ,0, 3.235 -0.185
1997-10-14 00:1080 , 2.78 ,0, 3.125 -0.345
1997-10-24 00:1080 , 2.72 ,0, 3.04125 -0.32125
1997-11-04 00:1080 , 2.68 ,0, 2.88625 -0.20625
1997-11-14 00:1080 , 2.68 ,0, 2.8 -0.12
