T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 1.62 ,0, 1.2 0.42
1993-01-19 00:1080 , 1.59 ,0, 1.17 0.42
1993-01-29 00:1080 , 1.55 ,0, 1.17 0.38
1993-02-09 00:1080 , 1.51 ,0, 1.17 0.34
1993-02-20 00:1080 , 1.52 ,0, 1.22 0.3
1993-03-00 00:1080 , 1.74 ,0, 1.28 0.46
1993-03-10 00:1080 , 2.19 ,0, 1.39 0.8
1993-03-20 00:1080 , 2.12 ,0, 1.37 0.75
1993-04-00 00:1080 , 1.91 ,0, 2.94 -1.03
1993-04-10 00:1080 , 5.6 ,0, 3.36 2.24
1993-04-21 00:1080 , 9.47 ,0, 6.38 3.09
1993-05-01 00:1080 , 12.5 ,0, 8.3 4.2
1993-05-11 00:1080 , 15.3 ,0, 8.78 6.52
1993-05-21 00:1080 , 17.8 ,0, 13.6 4.2
1993-06-01 00:1080 , 19.8 ,0, 17.1 2.7
1993-06-11 00:1080 , 15.0 ,0, 19.2 -4.2
1993-06-22 00:1080 , 14.1 ,0, 15.9 -1.8
1993-07-02 00:1080 , 10.7 ,0, 11.7 -1.0
1993-07-12 00:1080 , 7.72 ,0, 10.8 -3.08
1993-07-23 00:1080 , 7.33 ,0, 8.88 -1.55
1993-08-03 00:1080 , 6.59 ,0, 6.3 0.29
1993-08-13 00:1080 , 5.16 ,0, 4.81 0.35
1993-08-23 00:1080 , 4.07 ,0, 4.02 0.05
1993-09-03 00:1080 , 3.3 ,0, 3.48 -0.18
1993-09-13 00:1080 , 3.02 ,0, 3.22 -0.2
1993-09-24 00:1080 , 2.85 ,0, 2.89 -0.04
1993-10-04 00:1080 , 2.7 ,0, 2.84 -0.14
1993-10-14 00:1080 , 2.53 ,0, 2.63 -0.1
1993-10-24 00:1080 , 2.62 ,0, 2.52 0.1
1993-11-04 00:1080 , 2.53 ,0, 2.41 0.12
1993-11-14 00:1080 , 2.51 ,0, 2.36 0.15
1993-11-25 00:1080 , 2.45 ,0, 2.03 0.42
1994-00-00 00:720 , 2.09 ,0, 2.16 -0.07
1994-00-10 00:720 , 1.86 ,0, 2.05 -0.19
1994-00-21 00:720 , 1.82 ,0, 1.95 -0.13
1994-01-01 00:720 , 1.82 ,0, 1.15 0.67
1994-01-11 00:720 , 1.74 ,0, 1.62 0.12
1994-01-19 00:720 , 1.66 ,0, 1.59 0.07
1994-01-29 00:720 , 1.66 ,0, 1.55 0.11
1994-02-09 00:720 , 1.65 ,0, 1.51 0.14
1994-02-20 00:720 , 1.64 ,0, 1.52 0.12
1994-03-00 00:720 , 1.65 ,0, 1.74 -0.09
1994-03-10 00:720 , 1.98 ,0, 2.19 -0.21
1994-03-20 00:720 , 2.77 ,0, 2.12 0.65
1994-04-00 00:720 , 4.79 ,0, 1.91 2.88
1994-04-10 00:720 , 5.91 ,0, 5.6 0.31
1994-04-21 00:720 , 10.2 ,0, 9.47 0.73
1994-05-01 00:720 , 7.9 ,0, 12.5 -4.6
1994-05-11 00:720 , 14.8 ,0, 15.3 -0.5
1994-05-21 00:720 , 19.5 ,0, 17.8 1.7
1994-06-01 00:720 , 18.8 ,0, 19.8 -1.0
1994-06-11 00:720 , 18.0 ,0, 15.0 3.0
1994-06-22 00:720 , 16.9 ,0, 14.1 2.8
1994-07-02 00:720 , 17.0 ,0, 10.7 6.3
1994-07-12 00:720 , 16.5 ,0, 7.72 8.78
1994-07-23 00:720 , 7.32 ,0, 7.33 -0.01
1994-08-03 00:720 , 3.73 ,0, 6.59 -2.86
1994-08-13 00:720 , 3.05 ,0, 5.16 -2.11
1994-08-23 00:720 , 2.58 ,0, 4.07 -1.49
1994-09-03 00:720 , 2.23 ,0, 3.3 -1.07
1994-09-13 00:720 , 2.08 ,0, 3.02 -0.94
1994-09-24 00:720 , 2.04 ,0, 2.85 -0.81
1994-10-04 00:720 , 1.87 ,0, 2.7 -0.83
1994-10-14 00:720 , 1.82 ,0, 2.53 -0.71
1994-10-24 00:720 , 1.76 ,0, 2.62 -0.86
1994-11-04 00:720 , 1.85 ,0, 2.53 -0.68
1994-11-14 00:720 , 1.71 ,0, 2.51 -0.8
1994-11-25 00:720 , 1.69 ,0, 2.45 -0.76
1995-00-00 00:360 , 1.67 ,0, 2.09 -0.42
1995-00-10 00:360 , 1.7 ,0, 1.86 -0.16
1995-00-21 00:360 , 1.66 ,0, 1.82 -0.16
1995-01-01 00:360 , 1.65 ,0, 1.82 -0.17
1995-01-11 00:360 , 1.57 ,0, 1.74 -0.17
1995-01-19 00:360 , 1.52 ,0, 1.66 -0.14
1995-01-29 00:360 , 1.54 ,0, 1.66 -0.12
1995-02-09 00:360 , 1.6 ,0, 1.65 -0.05
1995-02-20 00:360 , 1.61 ,0, 1.64 -0.03
1995-03-00 00:360 , 1.66 ,0, 1.65 0.01
1995-03-10 00:360 , 1.7 ,0, 1.98 -0.28
1995-03-20 00:360 , 1.79 ,0, 2.77 -0.98
1995-04-00 00:360 , 1.9 ,0, 4.79 -2.89
1995-04-10 00:360 , 2.09 ,0, 5.91 -3.82
1995-04-21 00:360 , 3.26 ,0, 10.2 -6.94
1995-05-01 00:360 , 7.41 ,0, 7.9 -0.49
1995-05-11 00:360 , 12.6 ,0, 14.8 -2.2
1995-05-21 00:360 , 15.5 ,0, 19.5 -4.0
1995-06-01 00:360 , 16.2 ,0, 18.8 -2.6
1995-06-11 00:360 , 16.2 ,0, 18.0 -1.8
1995-06-22 00:360 , 15.6 ,0, 16.9 -1.3
1995-07-02 00:360 , 15.4 ,0, 17.0 -1.6
1995-07-12 00:360 , 12.6 ,0, 16.5 -3.9
1995-07-23 00:360 , 7.94 ,0, 7.32 0.62
1995-08-03 00:360 , 4.24 ,0, 3.73 0.51
1995-08-13 00:360 , 3.07 ,0, 3.05 0.02
1995-08-23 00:360 , 2.86 ,0, 2.58 0.28
1995-09-03 00:360 , 2.92 ,0, 2.23 0.69
1995-09-13 00:360 , 2.62 ,0, 2.08 0.54
1995-09-24 00:360 , 2.4 ,0, 2.04 0.36
1995-10-04 00:360 , 2.15 ,0, 1.87 0.28
1995-10-14 00:360 , 1.95 ,0, 1.82 0.13
1995-10-24 00:360 , 1.8 ,0, 1.76 0.04
1995-11-04 00:360 , 1.75 ,0, 1.85 -0.1
1995-11-14 00:360 , 1.73 ,0, 1.71 0.02
1995-11-25 00:360 , 1.73 ,0, 1.69 0.04
1996-00-00 00:00 , 1.65 ,0, 1.67 -0.02
1996-00-10 00:00 , 1.57 ,0, 1.7 -0.13
1996-00-21 00:00 , 1.69 ,0, 1.66 0.03
1996-01-01 00:00 , 1.71 ,0, 1.65 0.06
1996-01-11 00:00 , 1.71 ,0, 1.57 0.14
1996-01-20 00:00 , 1.68 ,0, 1.52 0.16
1996-02-00 00:00 , 1.66 ,0, 1.54 0.12
1996-02-10 00:00 , 1.67 ,0, 1.6 0.07
1996-02-21 00:00 , 1.64 ,0, 1.61 0.03
1996-03-01 00:00 , 2.31 ,0, 1.66 0.65
1996-03-11 00:00 , 2.16 ,0, 1.7 0.46
1996-03-21 00:00 , 1.81 ,0, 1.79 0.02
1996-04-01 00:00 , 2.24 ,0, 1.9 0.34
1996-04-11 00:00 , 4.38 ,0, 2.09 2.29
1996-04-22 00:00 , 6.64 ,0, 3.26 3.38
1996-05-02 00:00 , 12.2 ,0, 7.41 4.79
1996-05-12 00:00 , 14.5 ,0, 12.6 1.9
1996-05-22 00:00 , 15.5 ,0, 15.5 0.0
1996-06-02 00:00 , 14.1 ,0, 16.2 -2.1
1996-06-12 00:00 , 18.1 ,0, 16.2 1.9
1996-06-23 00:00 , 21.3 ,0, 15.6 5.7
1996-07-03 00:00 , 18.2 ,0, 15.4 2.8
1996-07-13 00:00 , 10.7 ,0, 12.6 -1.9
1996-07-24 00:00 , 8.84 ,0, 7.94 0.9
1996-08-04 00:00 , 8.58 ,0, 4.24 4.34
1996-08-14 00:00 , 8.14 ,0, 3.07 5.07
1996-08-24 00:00 , 5.89 ,0, 2.86 3.03
1996-09-04 00:00 , 4.6 ,0, 2.92 1.68
1996-09-14 00:00 , 3.89 ,0, 2.62 1.27
1996-09-25 00:00 , 3.61 ,0, 2.4 1.21
1996-10-05 00:00 , 3.37 ,0, 2.15 1.22
1996-10-15 00:00 , 3.26 ,0, 1.95 1.31
1996-10-25 00:00 , 3.12 ,0, 1.8 1.32
1996-11-05 00:00 , 2.85 ,0, 1.75 1.1
1996-11-15 00:00 , 2.75 ,0, 1.73 1.02
1996-11-26 00:00 , 2.67 ,0, 1.73 0.94
1997-00-00 00:1080 , 2.61 ,0, 1.65 0.96
1997-00-10 00:1080 , 2.53 ,0, 1.57 0.96
1997-00-21 00:1080 , 2.55 ,0, 1.69 0.86
1997-01-01 00:1080 , 2.51 ,0, 1.71 0.8
1997-01-11 00:1080 , 2.43 ,0, 1.71 0.72
1997-01-19 00:1080 , 2.3 ,0, 1.68 0.62
1997-01-29 00:1080 , 2.3 ,0, 1.66 0.64
1997-02-09 00:1080 , 2.33 ,0, 1.67 0.66
