T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1996-00-10 00:00 , 2.44 ,0, 2.48 -0.04
1996-00-21 00:00 , 2.4 ,0, 2.28 0.12
1996-01-01 00:00 , 2.3 ,0, 2.187 0.113
1996-01-11 00:00 , 2.21 ,0, 2.186 0.024
1996-01-20 00:00 , 2.18 ,0, 2.127 0.053
1996-02-00 00:00 , 2.01 ,0, 2.122 -0.112
1996-02-10 00:00 , 1.87 ,0, 2.096 -0.226
1996-02-21 00:00 , 1.76 ,0, nan nan
1996-03-01 00:00 , 2.34 ,0, nan nan
1996-03-11 00:00 , 3.22 ,0, nan nan
1996-03-21 00:00 , 2.39 ,0, nan nan
1996-04-01 00:00 , 2.98 ,0, nan nan
1996-04-11 00:00 , 4.99 ,0, 6.313 -1.323
1996-04-22 00:00 , 8.69 ,0, 10.465 -1.775
1996-05-02 00:00 , 18.4 ,0, 12.308 6.092
1996-05-12 00:00 , 16.5 ,0, 16.055 0.445
1996-05-22 00:00 , 19.4 ,0, 17.069 2.331
1996-06-02 00:00 , 20.0 ,0, 17.07 2.93
1996-06-12 00:00 , 19.4 ,0, 16.2 3.2
1996-06-23 00:00 , 20.2 ,0, 14.63 5.57
1996-07-03 00:00 , 16.2 ,0, 11.145 5.055
1996-07-13 00:00 , 9.57 ,0, 9.811 -0.241
1996-07-24 00:00 , 7.32 ,0, 7.935 -0.615
1996-08-04 00:00 , 7.18 ,0, 6.466 0.714
1996-08-14 00:00 , 4.49 ,0, 5.418 -0.928
1996-08-24 00:00 , 5.06 ,0, 4.531 0.529
1996-09-04 00:00 , 4.33 ,0, 4.066 0.264
1996-09-14 00:00 , 3.86 ,0, 3.639 0.221
1996-09-25 00:00 , 3.65 ,0, 3.394 0.256
1996-10-05 00:00 , 3.15 ,0, 3.206 -0.056
1996-10-15 00:00 , 3.2 ,0, 3.032 0.168
1996-10-25 00:00 , 3.07 ,0, 2.929 0.141
1996-11-05 00:00 , 2.96 ,0, 2.804 0.156
1996-11-15 00:00 , 2.77 ,0, 2.597 0.173
1996-11-26 00:00 , 2.85 ,0, 2.599 0.251
1997-00-00 00:1080 , 2.78 ,0, 2.565 0.215
1997-00-10 00:1080 , 2.73 ,0, 2.54 0.19
1997-00-21 00:1080 , 2.79 ,0, 2.339 0.451
1997-01-01 00:1080 , 2.63 ,0, 2.236 0.394
1997-01-11 00:1080 , 2.56 ,0, 2.226 0.334
