T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 7.18 ,0, 9.72 -2.54
1993-01-19 00:1080 , 7.22 ,0, 9.495 -2.275
1993-01-29 00:1080 , 7.31 ,0, 9.6575 -2.3475
1993-02-09 00:1080 , 7.32 ,0, 9.82 -2.5
1993-02-20 00:1080 , 6.39 ,0, 10.24 -3.85
1993-03-00 00:1080 , 6.63 ,0, 10.2025 -3.5725
1993-03-10 00:1080 , 8.28 ,0, 11.35 -3.07
1993-03-20 00:1080 , 19.4 ,0, 15.7 3.7
1993-04-00 00:1080 , 16.8 ,0, 25.25 -8.45
1993-04-10 00:1080 , 26.4 ,0, 28.3 -1.9
1993-04-21 00:1080 , 43.0 ,0, 36.725 6.275
1993-05-01 00:1080 , 45.3 ,0, 31.575 13.725
1993-05-11 00:1080 , 45.2 ,0, 36.5 8.7
1993-05-21 00:1080 , 50.1 ,0, 42.5 7.6
1993-06-01 00:1080 , 49.8 ,0, 49.05 0.75
1993-06-11 00:1080 , 40.1 ,0, 48.375 -8.275
1993-06-22 00:1080 , 34.7 ,0, 45.05 -10.35
1993-07-02 00:1080 , 30.9 ,0, 40.75 -9.85
1993-07-12 00:1080 , 30.4 ,0, 36.425 -6.025
1993-07-23 00:1080 , 30.1 ,0, 32.625 -2.525
1993-08-03 00:1080 , 19.1 ,0, 27.75 -8.65
1993-08-13 00:1080 , 23.7 ,0, 23.6 0.1
1993-08-23 00:1080 , nan ,0, 19.975 nan
1993-09-03 00:1080 , nan ,0, 17.05 nan
1993-09-13 00:1080 , nan ,0, 16.075 nan
1993-09-24 00:1080 , 14.0 ,0, 15.05 -1.05
1993-10-04 00:1080 , 12.9 ,0, 14.075 -1.175
1993-10-14 00:1080 , 11.9 ,0, 12.875 -0.975
1993-10-24 00:1080 , nan ,0, 12.175 nan
1993-11-04 00:1080 , nan ,0, 11.475 nan
1993-11-14 00:1080 , nan ,0, 10.3225 nan
1993-11-25 00:1080 , nan ,0, 10.4875 nan
1994-00-00 00:720 , nan ,0, 10.1875 nan
1994-00-10 00:720 , nan ,0, 9.7225 nan
1994-00-21 00:720 , nan ,0, 9.44 nan
1994-01-01 00:720 , nan ,0, 9.2025 nan
1994-01-11 00:720 , nan ,0, 8.815 nan
1994-01-19 00:720 , 8.2 ,0, 8.65 -0.45
1994-01-29 00:720 , 8.17 ,0, 8.635 -0.465
1994-02-09 00:720 , 9.15 ,0, 8.7 0.45
1994-02-20 00:720 , 8.66 ,0, 8.9625 -0.3025
1994-03-00 00:720 , 8.68 ,0, 9.235 -0.555
1994-03-10 00:720 , 9.49 ,0, 10.52 -1.03
1994-03-20 00:720 , 16.4 ,0, 15.75 0.65
1994-04-00 00:720 , 28.4 ,0, 22.65 5.75
1994-04-10 00:720 , 30.1 ,0, 24.025 6.075
1994-04-21 00:720 , 47.0 ,0, 35.1 11.9
1994-05-01 00:720 , 57.4 ,0, 37.45 19.95
1994-05-11 00:720 , 61.1 ,0, 38.575 22.525
1994-05-21 00:720 , 60.9 ,0, 45.35 15.55
1994-06-01 00:720 , 57.3 ,0, 49.475 7.825
1994-06-11 00:720 , 50.5 ,0, 46.375 4.125
1994-06-22 00:720 , 44.0 ,0, 42.15 1.85
1994-07-02 00:720 , 48.5 ,0, 38.35 10.15
1994-07-12 00:720 , 37.7 ,0, 34.675 3.025
1994-07-23 00:720 , 30.7 ,0, 32.725 -2.025
