T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s], Q_err [m3/s]
728003.0 , 1.58 , 1.42832466098 , 0.151675339017
728034.0 , 1.783333333 , 1.54034942679 , 0.242983906214
728064.0 , 2.776666667 , 2.8010766834 , -0.0244100163957
728095.0 , 10.2 , 7.76470681964 , 2.43529318036
728125.0 , 12.8 , 13.1566569591 , -0.356656959107
728156.0 , 9.83 , 12.7380232412 , -2.90802324124
728187.0 , 5.923333333 , 7.23084206129 , -1.30750872829
728217.0 , 2.746666667 , 3.66721699833 , -0.920550331326
728248.0 , 2.003333333 , 2.38668521903 , -0.383351886026
728278.0 , 1.773333333 , 2.05441663522 , -0.281083302216
728309.0 , 1.603333333 , 1.6418482624 , -0.0385149293981
728340.0 , 1.5 , 1.50482847347 , -0.00482847347434
728368.0 , 1.463333333 , 1.42832466098 , 0.035008672017
728399.0 , 1.616666667 , 1.60717638651 , 0.00949028048864
728429.0 , 3.71 , 2.53409266256 , 1.17590733744
728460.0 , 9.486666667 , 7.69983155869 , 1.78683510831
728490.0 , 17.6 , 13.2847386648 , 4.31526133523
728521.0 , 14.9 , 11.4409518545 , 3.45904814555
728552.0 , 6.316666667 , 6.63309542395 , -0.316428756954
728582.0 , 2.75 , 3.21667456449 , -0.466674564486
728613.0 , 2.136666667 , 2.278211038 , -0.141544370998
728643.0 , 1.783333333 , 2.00888454801 , -0.225551215012
728674.0 , 1.58 , 1.64873240271 , -0.0687324027149
728705.0 , 1.523333333 , 1.5337745526 , -0.0104412195956
728733.0 , 1.593333333 , 1.47454311661 , 0.118790216389
728764.0 , 1.933333333 , 1.65769018492 , 0.275643148084
728794.0 , 3.756666667 , 3.07650353173 , 0.68016313527
728825.0 , 7.27 , 8.66351959382 , -1.39351959382
728855.0 , 16.63333333 , 15.1928559853 , 1.44047734475
728886.0 , 16.8 , 12.4366931104 , 4.36330688965
728917.0 , 6.576666667 , 6.18273592464 , 0.393930742362
728947.0 , 3.5 , 2.93775532567 , 0.562244674325
728978.0 , 2.566666667 , 2.16781549594 , 0.398851171064
729008.0 , 2.01 , 1.88264507855 , 0.127354921453
729039.0 , 1.656666667 , 1.65105783949 , 0.00560882751439
729070.0 , 1.456666667 , 1.56888449019 , -0.112217823189
729099.0 , 1.443333333 , 1.54443273475 , -0.101099401745
729130.0 , 1.79 , 1.77304564705 , 0.0169543529506
729160.0 , 2.57 , 3.38246599537 , -0.812465995373
729191.0 , 8.536666667 , 8.89370543441 , -0.357038767409
729221.0 , 11.9 , 15.5322358358 , -3.6322358358
729252.0 , 14.66333333 , 13.5004949064 , 1.16283842359
729283.0 , 6.046666667 , 6.26642704283 , -0.219760375832
729313.0 , 3.05 , 2.97898899197 , 0.0710110080251
