T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s], Q_err [m3/s]
728003.0 , 0.58 , 0.508405649675 , 0.0715943503246
728034.0 , 0.74 , 0.54163836519 , 0.19836163481
728064.0 , 1.323333333 , 1.27310437923 , 0.0502289537716
728095.0 , 4.713333333 , 3.80131984988 , 0.912013483117
728125.0 , 5.986666667 , 4.52902543192 , 1.45764123508
728156.0 , 4.643333333 , nan , nan
728187.0 , 2.55 , nan , nan
728217.0 , 1.173333333 , nan , nan
728248.0 , 0.99 , 0.781838901125 , 0.208161098875
728278.0 , 0.83 , 0.641003591753 , 0.188996408247
728309.0 , 0.81 , 0.57789528566 , 0.23210471434
728340.0 , 0.693333333 , 0.53645427937 , 0.15687905363
728368.0 , 0.63 , 0.488585009704 , 0.141414990296
728399.0 , 0.713333333 , 0.54536118471 , 0.16797214829
728429.0 , 2.0 , 1.2699176097 , 0.7300823903
728460.0 , 5.466666667 , 4.42367457956 , 1.04299208744
728490.0 , 8.573333333 , 5.23844029332 , 3.33489303968
728521.0 , 3.963333333 , 4.17781085004 , -0.214477517041
728552.0 , 1.776666667 , 2.36269644933 , -0.586029782325
728582.0 , 1.063333333 , 1.11658231915 , -0.0532489861525
728613.0 , 0.85 , 0.849594098118 , 0.00040590188159
728643.0 , 0.766666667 , 0.6867439605 , 0.0799227064999
728674.0 , 0.656666667 , 0.640537043542 , 0.0161296234583
728705.0 , 0.54 , 0.583112002174 , -0.0431120021735
728733.0 , 0.536666667 , 0.531461913877 , 0.00520475312325
728764.0 , 0.516666667 , 0.586486030493 , -0.0698193634934
728794.0 , 1.193333333 , 1.31680515684 , -0.123471823844
728825.0 , 2.566666667 , 4.56354137991 , -1.99687471291
728855.0 , 5.16 , 5.90494416425 , -0.744944164246
728886.0 , 3.663333333 , 4.11035026081 , -0.447016927807
728917.0 , 1.536666667 , 2.33577594305 , -0.799109276049
728947.0 , 0.94 , 1.13197459893 , -0.191974598928
728978.0 , 0.64 , 0.881537642424 , -0.241537642424
729008.0 , 0.573333333 , 0.743956752439 , -0.170623419439
729039.0 , 0.516666667 , 0.685706068137 , -0.169039401137
729070.0 , 0.47 , 0.59949937371 , -0.12949937371
729099.0 , 0.47 , 0.559578206818 , -0.0895782068184
729130.0 , 0.56 , 0.621390084383 , -0.0613900843827
729160.0 , 0.97 , 1.49065846901 , -0.520658469007
729191.0 , 2.14 , 4.16950121437 , -2.02950121437
729221.0 , 5.733333333 , 6.21678571735 , -0.483452384347
729252.0 , 4.26 , 4.03621122184 , 0.223788778163
729283.0 , 2.17 , 2.07444469304 , 0.0955553069599
729313.0 , 1.326666667 , 1.0891808178 , 0.237485849201
729344.0 , 0.92 , 0.832840638348 , 0.0871593616524
729374.0 , 0.81 , 0.74180966861 , 0.0681903313897
729405.0 , 0.706666667 , 0.673041431353 , 0.0336252356467
729436.0 , 0.643333333 , 0.590297164562 , 0.0530361684382
729464.0 , 0.57 , 0.550988780508 , 0.0190112194924
729495.0 , 0.91 , 0.625144878 , 0.284855122
729525.0 , 2.39 , 1.322994956 , 1.067005044
729556.0 , 4.963333333 , 3.44912153756 , 1.51421179544
729586.0 , 7.05 , 6.24234719612 , 0.807652803881
729617.0 , 4.586666667 , 4.11665170602 , 0.470014960976
729648.0 , 2.383333333 , 1.97149819984 , 0.411835133159
729678.0 , 1.256666667 , 1.11685071603 , 0.139815950975
729709.0 , 0.8 , 0.838987480775 , -0.0389874807747
729739.0 , 0.686666667 , 0.737299978382 , -0.0506333113817
729770.0 , 0.656666667 , 0.663840523813 , -0.00717385681308
729801.0 , 0.586666667 , 0.580052680364 , 0.00661398663555
729829.0 , 0.58 , 0.548598317287 , 0.0314016827133
729860.0 , 0.58 , 0.658314006488 , -0.078314006488
729890.0 , 1.06 , 1.53369976373 , -0.473699763728
729921.0 , 5.153333333 , 3.493975216 , 1.659358117
729951.0 , 6.996666667 , 6.50277803449 , 0.493888632508
729982.0 , 6.306666667 , 4.104034037 , 2.20263263
730013.0 , 3.903333333 , 1.93846309189 , 1.96487024111
730043.0 , 1.906666667 , 1.13617387437 , 0.770492792633
730074.0 , 1.256666667 , 0.795461525069 , 0.461205141931
730104.0 , 1.113333333 , 0.703171385621 , 0.410161947379
730135.0 , 0.963333333 , 0.629910355955 , 0.333422977045
730166.0 , 0.833333333 , 0.556326530382 , 0.277006802618
730194.0 , 0.806666667 , 0.537373606822 , 0.269293060178
730225.0 , 0.8 , 0.625125139046 , 0.174874860954
730255.0 , 1.443333333 , 1.30860723796 , 0.134726095037
730286.0 , 4.126666667 , 3.44279553002 , 0.683871136983
730316.0 , 8.246666667 , 6.1806521028 , 2.0660145642
730347.0 , 8.09 , 4.60941460269 , 3.48058539731
730378.0 , 5.773333333 , 2.36001605792 , 3.41331727508
730408.0 , 3.25 , 1.31475894795 , 1.93524105205
730439.0 , 1.8 , 0.877141119911 , 0.922858880089
730469.0 , 1.106666667 , 0.771908542473 , 0.334758124527
730500.0 , 0.896666667 , 0.693244850738 , 0.203421816262
730531.0 , 0.813333333 , 0.620063289262 , 0.193270043738
730560.0 , 0.77 , 0.595009232655 , 0.174990767345
730591.0 , 1.096666667 , 0.697327592278 , 0.399339074722
730621.0 , 3.79 , 1.37233625065 , 2.41766374935
730652.0 , 5.543333333 , 3.87675816545 , 1.66657516755
730682.0 , 7.933333333 , 6.94930676714 , 0.98402656586
730713.0 , 7.586666667 , 5.61906161513 , 1.96760505187
730744.0 , 3.453333333 , 3.28569085144 , 0.167642481558
730774.0 , 1.73 , 1.79281307994 , -0.0628130799393
730805.0 , 1.34 , 1.13590654981 , 0.204093450187
730835.0 , 1.19 , 0.909846767485 , 0.280153232515
730866.0 , 1.116666667 , 0.795686148555 , 0.320980518445
730897.0 , 0.963333333 , 0.711178629978 , 0.252154703022
730925.0 , 0.886666667 , 0.673165610599 , 0.213501056401
730956.0 , 0.946666667 , 0.824913676677 , 0.121752990323
730986.0 , 3.423333333 , 1.92942279178 , 1.49391054122
731017.0 , 6.973333333 , 4.91822072523 , 2.05511260777
731047.0 , 7.786666667 , 7.53708843383 , 0.249578233174
731078.0 , 7.27 , 6.49118736934 , 0.778812630658
731109.0 , 3.5 , 3.69038256861 , -0.190382568606
731139.0 , 1.653333333 , 1.91582609095 , -0.26249275795
731170.0 , 1.206666667 , 1.24787719062 , -0.0412105236184
731200.0 , 1.113333333 , 1.0016909316 , 0.111642401404
731231.0 , 0.993333333 , 0.89211128753 , 0.10122204547
731262.0 , 0.85 , 0.786708480216 , 0.0632915197843
731290.0 , 0.793333333 , 0.751784388706 , 0.0415489442943
731321.0 , 1.396666667 , 0.833100561826 , 0.563566105174
731351.0 , 3.226666667 , 2.11076666298 , 1.11590000402
731382.0 , 6.17 , 5.35457198185 , 0.815428018146
731412.0 , 7.57 , 7.72670315183 , -0.156703151835
731443.0 , 7.453333333 , 7.28338811652 , 0.169945216477
731474.0 , 3.01 , 4.06248906092 , -1.05248906092
731504.0 , 1.926666667 , 2.05182900595 , -0.125162338953
731535.0 , 1.303333333 , 1.3829172018 , -0.0795838687975
731565.0 , 0.916666667 , 1.13032557357 , -0.213658906572
731596.0 , 0.82 , 0.989365002613 , -0.169365002613
