T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 1.67 ,0, 1.49571428571 0.174285714286
1993-01-19 00:1080 , 1.55 ,0, 1.49 0.06
1993-01-29 00:1080 , 1.62 ,0, 1.48142857143 0.138571428571
1993-02-09 00:1080 , 1.57 ,0, 1.45714285714 0.112857142857
1993-02-20 00:1080 , 1.56 ,0, 1.48285714286 0.0771428571429
1993-03-00 00:1080 , 1.66 ,0, 1.48714285714 0.172857142857
1993-03-10 00:1080 , 2.13 ,0, 1.61428571429 0.515714285714
1993-03-20 00:1080 , 2.12 ,0, 1.93714285714 0.182857142857
1993-04-00 00:1080 , 2.08 ,0, 2.88571428571 -0.805714285714
1993-04-10 00:1080 , 4.13 ,0, 3.25285714286 0.877142857143
1993-04-21 00:1080 , 7.9 ,0, 5.82 2.08
1993-05-01 00:1080 , 10.5 ,0, 7.07 3.43
1993-05-11 00:1080 , 12.2 ,0, 10.0728571429 2.12714285714
1993-05-21 00:1080 , 14.5 ,0, 12.3257142857 2.17428571429
1993-06-01 00:1080 , 13.5 ,0, 14.6428571429 -1.14285714286
1993-06-11 00:1080 , 10.4 ,0, 16.0285714286 -5.62857142857
1993-06-22 00:1080 , 10.5 ,0, 15.7714285714 -5.27142857143
1993-07-02 00:1080 , 10.8 ,0, 13.4714285714 -2.67142857143
1993-07-12 00:1080 , 8.19 ,0, 10.9157142857 -2.72571428571
1993-07-23 00:1080 , 8.04 ,0, 8.24714285714 -0.207142857143
1993-08-03 00:1080 , 5.66 ,0, 6.66 -1.0
1993-08-13 00:1080 , 4.07 ,0, 5.35428571429 -1.28428571429
1993-08-23 00:1080 , 3.16 ,0, 3.98428571429 -0.824285714286
1993-09-03 00:1080 , 2.72 ,0, 3.17 -0.45
1993-09-13 00:1080 , 2.36 ,0, 2.68 -0.32
1993-09-24 00:1080 , 2.1 ,0, 2.41428571429 -0.314285714286
1993-10-04 00:1080 , 2.02 ,0, 2.16428571429 -0.144285714286
1993-10-14 00:1080 , 1.89 ,0, 2.09 -0.2
