T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s], Q_err [m3/s]
730835.0 , 2.86 , 2.9246685761 , -0.0646685760954
730866.0 , 2.55 , nan , nan
730897.0 , 2.343333333 , nan , nan
730925.0 , 2.263333333 , nan , nan
730956.0 , 2.326666667 , 2.38466852468 , -0.0580018576836
730986.0 , 6.97 , 4.75158049981 , 2.21841950019
731017.0 , 12.13333333 , 11.778618468 , 0.35471486204
731047.0 , 11.73333333 , 16.3777603011 , -4.64442697106
731078.0 , 11.4 , 13.9436906756 , -2.54369067555
731109.0 , 6.316666667 , 8.06058481917 , -1.74391815217
731139.0 , 3.986666667 , 4.39706100035 , -0.410394333349
731170.0 , 3.103333333 , 3.4695578116 , -0.366224478603
731200.0 , 2.656666667 , 2.98379261414 , -0.327125947139
731231.0 , 2.333333333 , nan , nan
731262.0 , 2.143333333 , nan , nan
731290.0 , 2.096666667 , nan , nan
731321.0 , 3.326666667 , 2.41623397639 , 0.910432690612
731351.0 , 5.656666667 , 5.79613656176 , -0.139469894758
731382.0 , 16.7 , 11.0488044133 , 5.65119558666
731412.0 , 19.93333333 , 13.9306074836 , 6.00272584644
731443.0 , 17.0 , 12.2692647026 , 4.73073529737
731474.0 , 7.62 , 7.28591454292 , 0.334085457084
731504.0 , 4.583333333 , 4.21063097842 , 0.372702354585
731535.0 , 3.213333333 , 3.43069355198 , -0.217360218979
731565.0 , 2.803333333 , 2.93082177698 , -0.12748844398
731596.0 , 2.513333333 , 2.54894655084 , -0.0356132178408
