T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 1.48 ,0, 1.7 -0.22
1993-01-19 00:1080 , 1.42 ,0, 1.83 -0.41
1993-01-29 00:1080 , 1.41 ,0, 1.88 -0.47
1993-02-09 00:1080 , 1.33 ,0, 1.7 -0.37
1993-02-20 00:1080 , 1.53 ,0, 1.88 -0.35
1993-03-00 00:1080 , 1.66 ,0, 2.22 -0.56
1993-03-10 00:1080 , 3.44 ,0, 3.17 0.27
1993-03-20 00:1080 , 3.57 ,0, 2.97 0.6
1993-04-00 00:1080 , 3.37 ,0, 7.78 -4.41
1993-04-10 00:1080 , 6.51 ,0, 9.89 -3.38
1993-04-21 00:1080 , 13.7 ,0, 15.6 -1.9
1993-05-01 00:1080 , 19.9 ,0, 14.3 5.6
1993-05-11 00:1080 , 20.7 ,0, 17.4 3.3
1993-05-21 00:1080 , 19.6 ,0, 20.6 -1.0
1993-06-01 00:1080 , 17.6 ,0, 22.2 -4.6
1993-06-11 00:1080 , 14.3 ,0, 14.8 -0.5
1993-06-22 00:1080 , 10.1 ,0, 11.7 -1.6
1993-07-02 00:1080 , 9.33 ,0, 10.6 -1.27
1993-07-12 00:1080 , 8.2 ,0, 8.72 -0.52
1993-07-23 00:1080 , 7.45 ,0, 7.96 -0.51
1993-08-03 00:1080 , 5.89 ,0, 7.08 -1.19
1993-08-13 00:1080 , 5.01 ,0, 6.09 -1.08
1993-08-23 00:1080 , 4.37 ,0, 5.25 -0.88
1993-09-03 00:1080 , 4.12 ,0, 4.58 -0.46
1993-09-13 00:1080 , 3.7 ,0, 4.22 -0.52
1993-09-24 00:1080 , 3.4 ,0, 4.03 -0.63
1993-10-04 00:1080 , 3.14 ,0, 3.55 -0.41
1993-10-14 00:1080 , 2.96 ,0, 2.47 0.49
1993-10-24 00:1080 , 2.85 ,0, 3.23 -0.38
1993-11-04 00:1080 , 2.61 ,0, 2.5 0.11
1993-11-14 00:1080 , 2.51 ,0, 2.03 0.48
1993-11-25 00:1080 , 2.31 ,0, 1.94 0.37
1994-00-00 00:720 , 2.07 ,0, 1.84 0.23
1994-00-10 00:720 , 1.97 ,0, 1.72 0.25
1994-00-21 00:720 , 1.89 ,0, 1.65 0.24
1994-01-01 00:720 , 1.83 ,0, 1.54 0.29
1994-01-11 00:720 , 1.78 ,0, 1.48 0.3
1994-01-19 00:720 , 1.87 ,0, 1.42 0.45
1994-01-29 00:720 , 2.05 ,0, 1.41 0.64
1994-02-09 00:720 , 1.88 ,0, 1.33 0.55
1994-02-20 00:720 , 1.9 ,0, 1.53 0.37
1994-03-00 00:720 , 1.89 ,0, 1.66 0.23
1994-03-10 00:720 , 2.21 ,0, 3.44 -1.23
1994-03-20 00:720 , 4.81 ,0, 3.57 1.24
1994-04-00 00:720 , 7.7 ,0, 3.37 4.33
1994-04-10 00:720 , 12.3 ,0, 6.51 5.79
1994-04-21 00:720 , 19.6 ,0, 13.7 5.9
1994-05-01 00:720 , 16.7 ,0, 19.9 -3.2
1994-05-11 00:720 , 21.8 ,0, 20.7 1.1
1994-05-21 00:720 , 23.3 ,0, 19.6 3.7
1994-06-01 00:720 , 16.7 ,0, 17.6 -0.9
1994-06-11 00:720 , 13.6 ,0, 14.3 -0.7
1994-06-22 00:720 , 12.3 ,0, 10.1 2.2
1994-07-02 00:720 , 8.45 ,0, 9.33 -0.88
1994-07-12 00:720 , 7.59 ,0, 8.2 -0.61
