T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 1.48 ,0, 1.70428571429 -0.224285714286
1993-01-19 00:1080 , 1.42 ,0, 1.7 -0.28
1993-01-29 00:1080 , 1.41 ,0, 1.67142857143 -0.261428571429
1993-02-09 00:1080 , 1.33 ,0, 1.65 -0.32
1993-02-20 00:1080 , 1.53 ,0, 1.71857142857 -0.188571428571
1993-03-00 00:1080 , 1.66 ,0, 1.93285714286 -0.272857142857
1993-03-10 00:1080 , 3.44 ,0, 2.69142857143 0.748571428571
1993-03-20 00:1080 , 3.57 ,0, 3.56 0.01
1993-04-00 00:1080 , 3.37 ,0, 6.29142857143 -2.92142857143
1993-04-10 00:1080 , 6.51 ,0, 7.31857142857 -0.808571428571
1993-04-21 00:1080 , 13.7 ,0, 14.4485714286 -0.748571428571
1993-05-01 00:1080 , 19.9 ,0, 15.8542857143 4.04571428571
1993-05-11 00:1080 , 20.7 ,0, 19.0142857143 1.68571428571
1993-05-21 00:1080 , 19.6 ,0, 19.0142857143 0.585714285714
1993-06-01 00:1080 , 17.6 ,0, 18.4857142857 -0.885714285714
1993-06-11 00:1080 , 14.3 ,0, 17.0857142857 -2.78571428571
1993-06-22 00:1080 , 10.1 ,0, 12.7142857143 -2.61428571429
1993-07-02 00:1080 , 9.33 ,0, 10.22 -0.89
1993-07-12 00:1080 , 8.2 ,0, 8.64 -0.44
1993-07-23 00:1080 , 7.45 ,0, 6.85285714286 0.597142857143
1993-08-03 00:1080 , 5.89 ,0, 5.81142857143 0.0785714285714
1993-08-13 00:1080 , 5.01 ,0, 4.98571428571 0.0242857142857
1993-08-23 00:1080 , 4.37 ,0, 4.33 0.04
1993-09-03 00:1080 , 4.12 ,0, 3.80428571429 0.315714285714
1993-09-13 00:1080 , 3.7 ,0, 3.53714285714 0.162857142857
1993-09-24 00:1080 , 3.4 ,0, 3.23142857143 0.168571428571
1993-10-04 00:1080 , 3.14 ,0, 2.99428571429 0.145714285714
1993-10-14 00:1080 , 2.96 ,0, 2.66285714286 0.297142857143
1993-10-24 00:1080 , 2.85 ,0, 2.59428571429 0.255714285714
1993-11-04 00:1080 , 2.61 ,0, 2.46 0.15
1993-11-14 00:1080 , 2.51 ,0, 2.25571428571 0.254285714286
1993-11-25 00:1080 , 2.31 ,0, 2.10428571429 0.205714285714
1994-00-00 00:720 , 2.07 ,0, 1.99 0.08
1994-00-10 00:720 , 1.97 ,0, 1.87857142857 0.0914285714286
1994-00-21 00:720 , 1.89 ,0, 1.86857142857 0.0214285714286
1994-01-01 00:720 , 1.83 ,0, 1.79857142857 0.0314285714286
1994-01-11 00:720 , 1.78 ,0, 1.71428571429 0.0657142857143
1994-01-19 00:720 , 1.87 ,0, 1.70428571429 0.165714285714
1994-01-29 00:720 , 2.05 ,0, 1.68428571429 0.365714285714
1994-02-09 00:720 , 1.88 ,0, 1.65285714286 0.227142857143
1994-02-20 00:720 , 1.9 ,0, 1.74571428571 0.154285714286
1994-03-00 00:720 , 1.89 ,0, 1.95571428571 -0.0657142857143
1994-03-10 00:720 , 2.21 ,0, 2.94285714286 -0.732857142857
1994-03-20 00:720 , 4.81 ,0, 3.57714285714 1.23285714286
1994-04-00 00:720 , 7.7 ,0, 6.15571428571 1.54428571429
1994-04-10 00:720 , 12.3 ,0, 7.76857142857 4.53142857143
1994-04-21 00:720 , 19.6 ,0, 15.4571428571 4.14285714286
1994-05-01 00:720 , 16.7 ,0, 17.1685714286 -0.468571428571
