T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 0.62 ,0, 0.48 0.14
1993-01-19 00:1080 , 0.58 ,0, 0.463333333333 0.116666666667
1993-01-29 00:1080 , 0.58 ,0, 0.463333333333 0.116666666667
1993-02-09 00:1080 , 0.58 ,0, 0.46 0.12
1993-02-20 00:1080 , 0.58 ,0, 0.453333333333 0.126666666667
1993-03-00 00:1080 , 0.59 ,0, 0.466666666667 0.123333333333
1993-03-10 00:1080 , 1.05 ,0, 0.57 0.48
1993-03-20 00:1080 , 1.04 ,0, 0.906666666667 0.133333333333
1993-04-00 00:1080 , 0.84 ,0, nan nan
1993-04-10 00:1080 , 2.09 ,0, nan nan
1993-04-21 00:1080 , 3.92 ,0, 3.73666666667 0.183333333333
1993-05-01 00:1080 , 4.97 ,0, 4.72333333333 0.246666666667
1993-05-11 00:1080 , 5.25 ,0, 4.62 0.63
1993-05-21 00:1080 , 6.21 ,0, 4.88666666667 1.32333333333
1993-06-01 00:1080 , 6.09 ,0, 5.21333333333 0.876666666667
1993-06-11 00:1080 , 5.66 ,0, 5.05 0.61
1993-06-22 00:1080 , 5.43 ,0, 4.72 0.71
1993-07-02 00:1080 , 5.04 ,0, 3.91666666667 1.12333333333
1993-07-12 00:1080 , 3.46 ,0, 3.47 -0.01
1993-07-23 00:1080 , 2.93 ,0, 2.92333333333 0.00666666666667
1993-08-03 00:1080 , 2.83 ,0, 2.24 0.59
1993-08-13 00:1080 , 1.89 ,0, 1.82666666667 0.0633333333333
1993-08-23 00:1080 , 1.45 ,0, 1.25333333333 0.196666666667
1993-09-03 00:1080 , 1.06 ,0, 1.06666666667 -0.00666666666667
1993-09-13 00:1080 , 1.01 ,0, 0.983333333333 0.0266666666667
1993-09-24 00:1080 , 1.0 ,0, 0.866666666667 0.133333333333
1993-10-04 00:1080 , 1.0 ,0, 0.803333333333 0.196666666667
1993-10-14 00:1080 , 0.97 ,0, 0.76 0.21
1993-10-24 00:1080 , 0.83 ,0, 0.686666666667 0.143333333333
1993-11-04 00:1080 , 0.83 ,0, 0.663333333333 0.166666666667
1993-11-14 00:1080 , 0.83 ,0, 0.616666666667 0.213333333333
1993-11-25 00:1080 , 0.83 ,0, 0.62 0.21
1994-00-00 00:720 , 0.83 ,0, 0.61 0.22
1994-00-10 00:720 , 0.77 ,0, 0.573333333333 0.196666666667
1994-00-21 00:720 , 0.67 ,0, 0.576666666667 0.0933333333333
1994-01-01 00:720 , 0.72 ,0, 0.573333333333 0.146666666667
