T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 7.18 ,0, 9.58375 -2.40375
1993-01-19 00:1080 , 7.22 ,0, 9.635 -2.415
1993-01-29 00:1080 , 7.31 ,0, 9.64375 -2.33375
1993-02-09 00:1080 , 7.32 ,0, 9.74875 -2.42875
1993-02-20 00:1080 , 6.39 ,0, 10.2575 -3.8675
1993-03-00 00:1080 , 6.63 ,0, 11.62625 -4.99625
1993-03-10 00:1080 , 8.28 ,0, 15.7875 -7.5075
1993-03-20 00:1080 , 19.4 ,0, 19.2875 0.1125
1993-04-00 00:1080 , 16.8 ,0, 24.275 -7.475
1993-04-10 00:1080 , 26.4 ,0, 27.825 -1.425
1993-04-21 00:1080 , 43.0 ,0, 34.35 8.65
1993-05-01 00:1080 , 45.3 ,0, 37.1375 8.1625
1993-05-11 00:1080 , 45.2 ,0, 45.3375 -0.1375
1993-05-21 00:1080 , 50.1 ,0, 49.4375 0.6625
1993-06-01 00:1080 , 49.8 ,0, 52.2125 -2.4125
1993-06-11 00:1080 , 40.1 ,0, 55.7125 -15.6125
1993-06-22 00:1080 , 34.7 ,0, 51.6125 -16.9125
1993-07-02 00:1080 , 30.9 ,0, 45.5375 -14.6375
1993-07-12 00:1080 , 30.4 ,0, 40.125 -9.725
1993-07-23 00:1080 , 30.1 ,0, 34.3375 -4.2375
1993-08-03 00:1080 , 19.1 ,0, 28.7875 -9.6875
1993-08-13 00:1080 , 23.7 ,0, 24.4125 -0.7125
1993-08-23 00:1080 , nan ,0, 21.175 nan
1993-09-03 00:1080 , nan ,0, 18.9125 nan
1993-09-13 00:1080 , nan ,0, 17.7375 nan
1993-09-24 00:1080 , 14.0 ,0, 16.5125 -2.5125
1993-10-04 00:1080 , 12.9 ,0, 15.175 -2.275
1993-10-14 00:1080 , 11.9 ,0, 13.8875 -1.9875
1993-10-24 00:1080 , nan ,0, 13.225 nan
1993-11-04 00:1080 , nan ,0, 12.6 nan
1993-11-14 00:1080 , nan ,0, 11.74875 nan
1993-11-25 00:1080 , nan ,0, 11.28125 nan
1994-00-00 00:720 , nan ,0, 10.76875 nan
1994-00-10 00:720 , nan ,0, 10.44 nan
1994-00-21 00:720 , nan ,0, 10.2575 nan
1994-01-01 00:720 , nan ,0, 9.86875 nan
1994-01-11 00:720 , nan ,0, 9.4525 nan
1994-01-19 00:720 , 8.2 ,0, 9.48875 -1.28875
1994-01-29 00:720 , 8.17 ,0, 9.4275 -1.2575
1994-02-09 00:720 , 9.15 ,0, 9.41625 -0.26625
1994-02-20 00:720 , 8.66 ,0, 9.78125 -1.12125
1994-03-00 00:720 , 8.68 ,0, 11.03 -2.35
1994-03-10 00:720 , 9.49 ,0, 14.0475 -4.5575
1994-03-20 00:720 , 16.4 ,0, 19.0875 -2.6875
1994-04-00 00:720 , 28.4 ,0, 24.5125 3.8875
1994-04-10 00:720 , 30.1 ,0, 26.85 3.25
1994-04-21 00:720 , 47.0 ,0, 36.8125 10.1875
1994-05-01 00:720 , 57.4 ,0, 37.325 20.075
1994-05-11 00:720 , 61.1 ,0, 44.425 16.675
1994-05-21 00:720 , 60.9 ,0, 49.625 11.275
1994-06-01 00:720 , 57.3 ,0, 52.6625 4.6375
1994-06-11 00:720 , 50.5 ,0, 54.2125 -3.7125
1994-06-22 00:720 , 44.0 ,0, 48.75 -4.75
1994-07-02 00:720 , 48.5 ,0, 44.025 4.475
1994-07-12 00:720 , 37.7 ,0, 39.3125 -1.6125
1994-07-23 00:720 , 30.7 ,0, 34.15 -3.45
1994-08-03 00:720 , 25.7 ,0, 27.95 -2.25
1994-08-13 00:720 , 24.4 ,0, 24.475 -0.075
1994-08-23 00:720 , 21.8 ,0, nan nan
1994-09-03 00:720 , 17.2 ,0, nan nan
1994-09-13 00:720 , 15.1 ,0, nan nan
1994-09-24 00:720 , 15.0 ,0, 16.325 -1.325
1994-10-04 00:720 , 14.5 ,0, 15.05 -0.55
1994-10-14 00:720 , 13.8 ,0, 13.9125 -0.1125
1994-10-24 00:720 , 13.5 ,0, nan nan
1994-11-04 00:720 , 12.3 ,0, nan nan
1994-11-14 00:720 , 10.6 ,0, nan nan
1994-11-25 00:720 , 9.24 ,0, nan nan
1995-00-00 00:360 , 8.85 ,0, nan nan
1995-00-10 00:360 , 8.83 ,0, nan nan
1995-00-21 00:360 , 9.18 ,0, nan nan
1995-01-01 00:360 , 8.78 ,0, nan nan
1995-01-11 00:360 , 8.63 ,0, nan nan
