T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s], Q_err [m3/s]
728003.0 , 7.283333333 , 9.08182486053 , -1.79849152753
728034.0 , 7.1 , 10.3908426483 , -3.2908426483
728064.0 , 20.86666667 , 20.6844665678 , 0.182200102156
728095.0 , 44.5 , 34.0345043809 , 10.4654956191
728125.0 , 46.66666667 , 46.6519483063 , 0.0147183637404
728156.0 , 32.0 , 40.45924875 , -8.45924874997
728187.0 , 24.3 , 28.6445246963 , -4.34452469627
728217.0 , nan , 17.5244079692 , nan
728248.0 , 12.93333333 , 13.6314570602 , -0.698123730159
728278.0 , nan , 10.7844656233 , nan
728309.0 , nan , 9.78440702305 , nan
728340.0 , nan , 8.87669363951 , nan
728368.0 , 8.506666667 , 8.12093098185 , 0.385735685146
728399.0 , 8.943333333 , 9.09816786087 , -0.154834527868
728429.0 , 24.96666667 , 19.8529333178 , 5.11373335218
728460.0 , 55.16666667 , 35.0051275945 , 20.1615390755
728490.0 , 56.23333333 , 47.7210381478 , 8.51229518221
728521.0 , 43.4 , 36.570180853 , 6.829819147
728552.0 , 26.93333333 , 26.2154484188 , 0.717884911193
728582.0 , 18.03333333 , nan , nan
728613.0 , 14.43333333 , 12.5516472505 , 1.88168607952
728643.0 , 12.13333333 , nan , nan
728674.0 , 8.973333333 , nan , nan
728705.0 , 8.863333333 , nan , nan
728733.0 , 8.953333333 , 7.95114439351 , 1.00218893949
728764.0 , 9.346666667 , 8.57023029122 , 0.776436375778
728794.0 , 23.73333333 , 21.926047938 , 1.80728539195
728825.0 , 28.63333333 , 44.5292774483 , -15.8959441183
728855.0 , 40.16666667 , 53.23813312 , -13.07146645
728886.0 , 31.53333333 , 38.2936195287 , -6.76028619869
728917.0 , 20.36666667 , 25.4993771452 , -5.13271047525
728947.0 , 11.05 , nan , nan
728978.0 , 7.743333333 , 13.1446665658 , -5.4013332328
729008.0 , 8.006666667 , nan , nan
729039.0 , 8.383333333 , nan , nan
729070.0 , 8.28 , nan , nan
729099.0 , 8.113333333 , 8.21658688213 , -0.103253549134
729130.0 , 9.583333333 , 8.40371870704 , 1.17961462596
729160.0 , 15.7 , 23.1237071251 , -7.4237071251
729191.0 , 49.0 , 41.2701665151 , 7.72983348493
729221.0 , 38.93333333 , 47.2377061631 , -8.3043728331
729252.0 , 47.6 , 35.2481663828 , 12.3518336172
729283.0 , 23.43333333 , 23.7103944154 , -0.277061085359
729313.0 , 17.46666667 , nan , nan
729344.0 , 13.1 , 11.3066779549 , 1.79332204506
729374.0 , 11.33333333 , nan , nan
729405.0 , 10.4 , nan , nan
729436.0 , 10.11666667 , nan , nan
729464.0 , 9.07 , 8.51754616335 , 0.552453836647
729495.0 , 16.96666667 , 9.28733096184 , 7.67933570816
729525.0 , 32.3 , 21.0316325158 , 11.2683674842
729556.0 , 57.53333333 , 42.6168727233 , 14.9164606067
729586.0 , 46.16666667 , 44.4693112131 , 1.6973554569
729617.0 , 40.76666667 , 40.236684525 , 0.52998214505
729648.0 , 27.66666667 , 23.4250958869 , 4.24157078315
729678.0 , 17.0 , 15.1547731631 , 1.84522683691
729709.0 , 12.56666667 , 11.3550390148 , 1.21162765523
729739.0 , 9.66 , 10.3259459263 , -0.665945926345
729770.0 , 9.116666667 , 9.21441903312 , -0.0977523661174
729801.0 , 8.266666667 , 9.05499649906 , -0.788329832057
729829.0 , 8.046666667 , 8.70156001617 , -0.654893349166
729860.0 , 8.02 , 11.4971436821 , -3.47714368214
729890.0 , 14.3 , 22.9167822323 , -8.61678223232
729921.0 , 46.96666667 , 43.217785392 , 3.74888127804
729951.0 , 60.83333333 , 41.6394802219 , 19.1938531081
729982.0 , 55.03333333 , 39.4058480994 , 15.6274852306
730013.0 , 38.16666667 , 23.6357989883 , 14.5308676817
730043.0 , 22.36666667 , 14.8595985724 , 7.50706809757
730074.0 , 16.46666667 , 10.842758431 , 5.62390823901
730104.0 , 14.1 , 9.57037258493 , 4.52962741507
730135.0 , 13.06666667 , 9.26322152237 , 3.80344514763
730166.0 , 12.26666667 , 8.84706873144 , 3.41959793856
730194.0 , 11.5 , 8.39732326949 , 3.10267673051
730225.0 , 11.16666667 , 10.9251941483 , 0.241472521707
730255.0 , 24.56666667 , 19.3558718189 , 5.2107948511
730286.0 , 44.36666667 , 50.9684920797 , -6.60182540971
730316.0 , 58.0 , 47.8186422004 , 10.1813577996
