T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 7.18 ,0, 9.36 -2.18
1993-01-19 00:1080 , 7.22 ,0, 9.12666666667 -1.90666666667
1993-01-29 00:1080 , 7.31 ,0, 9.07666666667 -1.76666666667
1993-02-09 00:1080 , 7.32 ,0, 9.16 -1.84
1993-02-20 00:1080 , 6.39 ,0, 9.82 -3.43
1993-03-00 00:1080 , 6.63 ,0, 10.1033333333 -3.47333333333
1993-03-10 00:1080 , 8.28 ,0, 11.2666666667 -2.98666666667
1993-03-20 00:1080 , 19.4 ,0, 14.5333333333 4.86666666667
1993-04-00 00:1080 , 16.8 ,0, 24.6 -7.8
1993-04-10 00:1080 , 26.4 ,0, 23.2333333333 3.16666666667
1993-04-21 00:1080 , 43.0 ,0, 32.4666666667 10.5333333333
1993-05-01 00:1080 , 45.3 ,0, 34.8333333333 10.4666666667
1993-05-11 00:1080 , 45.2 ,0, 36.3666666667 8.83333333333
1993-05-21 00:1080 , 50.1 ,0, 43.7666666667 6.33333333333
1993-06-01 00:1080 , 49.8 ,0, 49.3666666667 0.433333333333
1993-06-11 00:1080 , 40.1 ,0, 48.4666666667 -8.36666666667
1993-06-22 00:1080 , 34.7 ,0, 44.6333333333 -9.93333333333
1993-07-02 00:1080 , 30.9 ,0, 40.8333333333 -9.93333333333
1993-07-12 00:1080 , 30.4 ,0, 36.1 -5.7
1993-07-23 00:1080 , 30.1 ,0, 33.6 -3.5
1993-08-03 00:1080 , 19.1 ,0, 28.9666666667 -9.86666666667
1993-08-13 00:1080 , 23.7 ,0, 23.7333333333 -0.0333333333333
1993-08-23 00:1080 , nan ,0, 19.9333333333 nan
1993-09-03 00:1080 , nan ,0, 16.9666666667 nan
1993-09-13 00:1080 , nan ,0, 16.1333333333 nan
1993-09-24 00:1080 , 14.0 ,0, 15.1333333333 -1.13333333333
1993-10-04 00:1080 , 12.9 ,0, 13.9 -1.0
1993-10-14 00:1080 , 11.9 ,0, 12.2666666667 -0.366666666667
1993-10-24 00:1080 , nan ,0, 11.7 nan
1993-11-04 00:1080 , nan ,0, 10.9666666667 nan
1993-11-14 00:1080 , nan ,0, 9.83 nan
1993-11-25 00:1080 , nan ,0, 10.15 nan
1994-00-00 00:720 , nan ,0, 9.85 nan
1994-00-10 00:720 , nan ,0, 9.39666666667 nan
1994-00-21 00:720 , nan ,0, 9.22 nan
1994-01-01 00:720 , nan ,0, 8.87 nan
1994-01-11 00:720 , nan ,0, 8.63333333333 nan
1994-01-19 00:720 , 8.2 ,0, 8.21333333333 -0.0133333333333
