T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 1.62 ,0, 1.62666666667 -0.00666666666667
1993-01-19 00:1080 , 1.59 ,0, 1.59 0.0
1993-01-29 00:1080 , 1.55 ,0, 1.53 0.02
1993-02-09 00:1080 , 1.51 ,0, 1.52833333333 -0.0183333333333
1993-02-20 00:1080 , 1.52 ,0, 1.55666666667 -0.0366666666667
1993-03-00 00:1080 , 1.74 ,0, 1.73166666667 0.00833333333333
1993-03-10 00:1080 , 2.19 ,0, 2.02666666667 0.163333333333
1993-03-20 00:1080 , 2.12 ,0, 2.38 -0.26
1993-04-00 00:1080 , 1.91 ,0, 3.98333333333 -2.07333333333
1993-04-10 00:1080 , 5.6 ,0, 4.485 1.115
1993-04-21 00:1080 , 9.47 ,0, 8.965 0.505
1993-05-01 00:1080 , 12.5 ,0, 10.1983333333 2.30166666667
1993-05-11 00:1080 , 15.3 ,0, 12.7416666667 2.55833333333
1993-05-21 00:1080 , 17.8 ,0, 15.0233333333 2.77666666667
1993-06-01 00:1080 , 19.8 ,0, 17.7666666667 2.03333333333
1993-06-11 00:1080 , 15.0 ,0, nan nan
1993-06-22 00:1080 , 14.1 ,0, nan nan
1993-07-02 00:1080 , 10.7 ,0, nan nan
1993-07-12 00:1080 , 7.72 ,0, nan nan
1993-07-23 00:1080 , 7.33 ,0, nan nan
1993-08-03 00:1080 , 6.59 ,0, nan nan
1993-08-13 00:1080 , 5.16 ,0, nan nan
1993-08-23 00:1080 , 4.07 ,0, nan nan
1993-09-03 00:1080 , 3.3 ,0, nan nan
1993-09-13 00:1080 , 3.02 ,0, nan nan
1993-09-24 00:1080 , 2.85 ,0, nan nan
1993-10-04 00:1080 , 2.7 ,0, nan nan
1993-10-14 00:1080 , 2.53 ,0, nan nan
1993-10-24 00:1080 , 2.62 ,0, nan nan
1993-11-04 00:1080 , 2.53 ,0, nan nan
1993-11-14 00:1080 , 2.51 ,0, nan nan
1993-11-25 00:1080 , 2.45 ,0, 1.95833333333 0.491666666667
1994-00-00 00:720 , 2.09 ,0, 1.915 0.175
1994-00-10 00:720 , 1.86 ,0, 1.81833333333 0.0416666666667
1994-00-21 00:720 , 1.82 ,0, 1.75833333333 0.0616666666667
1994-01-01 00:720 , 1.82 ,0, 1.565 0.255
1994-01-11 00:720 , 1.74 ,0, 1.63666666667 0.103333333333
1994-01-19 00:720 , 1.66 ,0, 1.59 0.07
1994-01-29 00:720 , 1.66 ,0, 1.52833333333 0.131666666667
1994-02-09 00:720 , 1.65 ,0, 1.525 0.125
1994-02-20 00:720 , 1.64 ,0, 1.545 0.095
1994-03-00 00:720 , 1.65 ,0, 1.72833333333 -0.0783333333333
1994-03-10 00:720 , 1.98 ,0, 2.00666666667 -0.0266666666667
1994-03-20 00:720 , 2.77 ,0, 2.40166666667 0.368333333333
1994-04-00 00:720 , 4.79 ,0, 3.38833333333 1.40166666667
1994-04-10 00:720 , 5.91 ,0, 4.23833333333 1.67166666667
1994-04-21 00:720 , 10.2 ,0, 8.16 2.04
1994-05-01 00:720 , 7.9 ,0, 10.3983333333 -2.49833333333
1994-05-11 00:720 , 14.8 ,0, 13.1916666667 1.60833333333
1994-05-21 00:720 , 19.5 ,0, 14.2233333333 5.27666666667
1994-06-01 00:720 , 18.8 ,0, 17.55 1.25
1994-06-11 00:720 , 18.0 ,0, nan nan
1994-06-22 00:720 , 16.9 ,0, nan nan
1994-07-02 00:720 , 17.0 ,0, nan nan
1994-07-12 00:720 , 16.5 ,0, nan nan
1994-07-23 00:720 , 7.32 ,0, nan nan
1994-08-03 00:720 , 3.73 ,0, nan nan
1994-08-13 00:720 , 3.05 ,0, nan nan
1994-08-23 00:720 , 2.58 ,0, nan nan
1994-09-03 00:720 , 2.23 ,0, nan nan
1994-09-13 00:720 , 2.08 ,0, nan nan
1994-09-24 00:720 , 2.04 ,0, nan nan
1994-10-04 00:720 , 1.87 ,0, nan nan
1994-10-14 00:720 , 1.82 ,0, nan nan
1994-10-24 00:720 , 1.76 ,0, nan nan
1994-11-04 00:720 , 1.85 ,0, nan nan
1994-11-14 00:720 , 1.71 ,0, nan nan
1994-11-25 00:720 , 1.69 ,0, 1.92833333333 -0.238333333333
1995-00-00 00:360 , 1.67 ,0, 1.84666666667 -0.176666666667
1995-00-10 00:360 , 1.7 ,0, 1.72333333333 -0.0233333333333
1995-00-21 00:360 , 1.66 ,0, 1.68 -0.02
1995-01-01 00:360 , 1.65 ,0, 1.53166666667 0.118333333333
1995-01-11 00:360 , 1.57 ,0, 1.585 -0.015
1995-01-19 00:360 , 1.52 ,0, 1.53666666667 -0.0166666666667
1995-01-29 00:360 , 1.54 ,0, 1.51666666667 0.0233333333333
1995-02-09 00:360 , 1.6 ,0, 1.51333333333 0.0866666666667
1995-02-20 00:360 , 1.61 ,0, 1.51833333333 0.0916666666667
1995-03-00 00:360 , 1.66 ,0, 1.56 0.1
1995-03-10 00:360 , 1.7 ,0, 1.73 -0.03
1995-03-20 00:360 , 1.79 ,0, 2.17166666667 -0.381666666667
1995-04-00 00:360 , 1.9 ,0, 3.54333333333 -1.64333333333
1995-04-10 00:360 , 2.09 ,0, 4.35333333333 -2.26333333333
1995-04-21 00:360 , 3.26 ,0, 8.26666666667 -5.00666666667
1995-05-01 00:360 , 7.41 ,0, 9.015 -1.605
1995-05-11 00:360 , 12.6 ,0, 12.1583333333 0.441666666667
1995-05-21 00:360 , 15.5 ,0, 14.7233333333 0.776666666667
1995-06-01 00:360 , 16.2 ,0, 15.55 0.65
1995-06-11 00:360 , 16.2 ,0, nan nan
1995-06-22 00:360 , 15.6 ,0, nan nan
1995-07-02 00:360 , 15.4 ,0, nan nan
1995-07-12 00:360 , 12.6 ,0, nan nan
1995-07-23 00:360 , 7.94 ,0, nan nan
1995-08-03 00:360 , 4.24 ,0, nan nan
1995-08-13 00:360 , 3.07 ,0, nan nan
1995-08-23 00:360 , 2.86 ,0, nan nan
1995-09-03 00:360 , 2.92 ,0, nan nan
1995-09-13 00:360 , 2.62 ,0, nan nan
1995-09-24 00:360 , 2.4 ,0, nan nan
1995-10-04 00:360 , 2.15 ,0, nan nan
1995-10-14 00:360 , 1.95 ,0, nan nan
1995-10-24 00:360 , 1.8 ,0, nan nan
1995-11-04 00:360 , 1.75 ,0, nan nan
1995-11-14 00:360 , 1.73 ,0, nan nan
1995-11-25 00:360 , 1.73 ,0, 1.78 -0.05
1996-00-00 00:00 , 1.65 ,0, 1.715 -0.065
1996-00-10 00:00 , 1.57 ,0, 1.635 -0.065
1996-00-21 00:00 , 1.69 ,0, 1.58666666667 0.103333333333
1996-01-01 00:00 , 1.71 ,0, 1.44666666667 0.263333333333
1996-01-11 00:00 , 1.71 ,0, 1.48833333333 0.221666666667
1996-01-20 00:00 , 1.68 ,0, 1.45 0.23
1996-02-00 00:00 , 1.66 ,0, 1.45 0.21
1996-02-10 00:00 , 1.67 ,0, 1.445 0.225
1996-02-21 00:00 , 1.64 ,0, 1.46333333333 0.176666666667
1996-03-01 00:00 , 2.31 ,0, 1.51333333333 0.796666666667
1996-03-11 00:00 , 2.16 ,0, 1.68333333333 0.476666666667
1996-03-21 00:00 , 1.81 ,0, 2.11 -0.3
1996-04-01 00:00 , 2.24 ,0, 3.40333333333 -1.16333333333
1996-04-11 00:00 , 4.38 ,0, 4.05 0.33
1996-04-22 00:00 , 6.64 ,0, 7.88833333333 -1.24833333333
1996-05-02 00:00 , 12.2 ,0, 9.535 2.665
1996-05-12 00:00 , 14.5 ,0, 13.0633333333 1.43666666667
1996-05-22 00:00 , 15.5 ,0, 15.9833333333 -0.483333333333
1996-06-02 00:00 , 14.1 ,0, 16.2833333333 -2.18333333333
1996-06-12 00:00 , 18.1 ,0, 16.0 2.1
1996-06-23 00:00 , 21.3 ,0, 16.05 5.25
1996-07-03 00:00 , 18.2 ,0, 13.3333333333 4.86666666667
1996-07-13 00:00 , 10.7 ,0, 11.34 -0.64
1996-07-24 00:00 , 8.84 ,0, 8.19833333333 0.641666666667
1996-08-04 00:00 , 8.58 ,0, 5.84666666667 2.73333333333
1996-08-14 00:00 , 8.14 ,0, 4.56333333333 3.57666666667
1996-08-24 00:00 , 5.89 ,0, 3.60166666667 2.28833333333
1996-09-04 00:00 , 4.6 ,0, 2.965 1.635
1996-09-14 00:00 , 3.89 ,0, 2.62333333333 1.26666666667
1996-09-25 00:00 , 3.61 ,0, 2.40333333333 1.20666666667
1996-10-05 00:00 , 3.37 ,0, 2.23833333333 1.13166666667
1996-10-15 00:00 , 3.26 ,0, 2.12833333333 1.13166666667
1996-10-25 00:00 , 3.12 ,0, 2.04166666667 1.07833333333
1996-11-05 00:00 , 2.85 ,0, 1.95333333333 0.896666666667
1996-11-15 00:00 , 2.75 ,0, 1.90333333333 0.846666666667
1996-11-26 00:00 , 2.67 ,0, 1.80333333333 0.866666666667
1997-00-00 00:1080 , 2.61 ,0, 1.73 0.88
1997-00-10 00:1080 , 2.53 ,0, 1.635 0.895
1997-00-21 00:1080 , 2.55 ,0, 1.61 0.94
