T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 18:00 , 727985.0 ,0, 1.365 0.305
1993-01-19 18:00 , 727993.0 ,0, 1.36 0.19
1993-01-29 18:00 , 728003.0 ,0, 1.36 0.26
1993-02-09 18:00 , 728013.0 ,0, 1.355 0.215
1993-02-20 18:00 , 728024.0 ,0, 1.49 0.07
1993-03-00 18:00 , 728034.0 ,0, 1.49 0.17
1993-03-10 18:00 , 728044.0 ,0, 1.6 0.53
1993-03-20 18:00 , 728054.0 ,0, 1.565 0.555
1993-04-00 18:00 , 728064.0 ,0, 2.715 -0.635
1993-04-10 18:00 , 728074.0 ,0, 3.07 1.06
1993-04-21 18:00 , 728085.0 ,0, 5.48 2.42
1993-05-01 18:00 , 728095.0 ,0, 6.885 3.615
1993-05-11 18:00 , 728105.0 ,0, 7.705 4.495
1993-05-21 18:00 , 728115.0 ,0, 10.55 3.95
1993-06-01 18:00 , 728125.0 ,0, 15.55 -2.05
1993-06-11 18:00 , 728135.0 ,0, 14.9 -4.5
1993-06-22 18:00 , 728146.0 ,0, 14.65 -4.15
1993-07-02 18:00 , 728156.0 ,0, 11.85 -1.05
1993-07-12 18:00 , 728166.0 ,0, 10.6 -2.41
1993-07-23 18:00 , 728177.0 ,0, 9.07 -1.03
1993-08-03 18:00 , 728187.0 ,0, 6.96 -1.3
1993-08-13 18:00 , 728197.0 ,0, 5.145 -1.075
1993-08-23 18:00 , 728207.0 ,0, 4.155 -0.995
1993-09-03 18:00 , 728217.0 ,0, 3.355 -0.635
1993-09-13 18:00 , 728227.0 ,0, 2.94 -0.58
1993-09-24 18:00 , 728238.0 ,0, 2.595 -0.495
1993-10-04 18:00 , 728248.0 ,0, 2.4 -0.38
1993-10-14 18:00 , 728258.0 ,0, 2.295 -0.405
1993-10-24 18:00 , 728268.0 ,0, 2.23 -0.39
1993-11-04 18:00 , 728278.0 ,0, 2.155 -0.375
1993-11-14 18:00 , 728288.0 ,0, 2.03 -0.33
1993-11-25 18:00 , 728299.0 ,0, 1.805 -0.125
1994-00-00 12:00 , 728309.0 ,0, 1.62 -0.01
1994-00-10 12:00 , 728319.0 ,0, 1.6 -0.08
1994-00-21 12:00 , 728330.0 ,0, 1.575 -0.055
1994-01-01 12:00 , 728340.0 ,0, 1.555 -0.045
1994-01-11 12:00 , 728350.0 ,0, 1.54 -0.07
1994-01-19 12:00 , 728358.0 ,0, 1.48 -0.03
1994-01-29 12:00 , 728368.0 ,0, 1.515 -0.065
1994-02-09 12:00 , 728378.0 ,0, 1.455 0.035
1994-02-20 12:00 , 728389.0 ,0, 1.515 -0.025
1994-03-00 12:00 , 728399.0 ,0, 1.595 -0.065
1994-03-10 12:00 , 728409.0 ,0, 1.935 -0.105
1994-03-20 12:00 , 728419.0 ,0, 1.875 0.535
1994-04-00 12:00 , 728429.0 ,0, 2.6 1.44
1994-04-10 12:00 , 728439.0 ,0, 3.93 0.75
1994-04-21 12:00 , 728450.0 ,0, 6.945 0.995
1994-05-01 12:00 , 728460.0 ,0, 8.55 -0.23
1994-05-11 12:00 , 728470.0 ,0, 9.885 2.315
1994-05-21 12:00 , 728480.0 ,0, 12.7 4.2
1994-06-01 12:00 , 728490.0 ,0, 16.15 1.25
1994-06-11 12:00 , 728500.0 ,0, 13.7 4.8
1994-06-22 12:00 , 728511.0 ,0, 13.1 6.3
1994-07-02 12:00 , 728521.0 ,0, 11.65 -0.15
1994-07-12 12:00 , 728531.0 ,0, 9.695 4.105
1994-07-23 12:00 , 728542.0 ,0, 8.33 0.63
1994-08-03 12:00 , 728552.0 ,0, 5.71 0.04
1994-08-13 12:00 , 728562.0 ,0, 4.32 -0.08
1994-08-23 12:00 , 728572.0 ,0, 3.6 -0.18
1994-09-03 12:00 , 728582.0 ,0, 2.94 -0.41
1994-09-13 12:00 , 728592.0 ,0, 2.615 -0.315
1994-09-24 12:00 , 728603.0 ,0, 2.315 -0.125
1994-10-04 12:00 , 728613.0 ,0, 2.185 -0.035
1994-10-14 12:00 , 728623.0 ,0, 2.075 -0.005
1994-10-24 12:00 , 728633.0 ,0, 1.985 0.015
1994-11-04 12:00 , 728643.0 ,0, 1.955 -0.255
1994-11-14 12:00 , 728653.0 ,0, 1.885 -0.235
1994-11-25 12:00 , 728664.0 ,0, 1.805 -0.135
1995-00-00 06:00 , 728674.0 ,0, 1.655 -0.115
1995-00-10 06:00 , 728684.0 ,0, 1.61 -0.08
1995-00-21 06:00 , 728695.0 ,0, 1.61 -0.08
1995-01-01 06:00 , 728705.0 ,0, 1.605 -0.095
1995-01-11 06:00 , 728715.0 ,0, 1.57 -0.04
1995-01-19 06:00 , 728723.0 ,0, 1.5 -0.03
1995-01-29 06:00 , 728733.0 ,0, 1.535 -0.045
1995-02-09 06:00 , 728743.0 ,0, 1.53 0.29
1995-02-20 06:00 , 728754.0 ,0, 1.525 0.395
1995-03-00 06:00 , 728764.0 ,0, 1.595 0.325
1995-03-10 06:00 , 728774.0 ,0, 1.98 -0.02
1995-03-20 06:00 , 728784.0 ,0, 2.265 0.965
1995-04-00 06:00 , 728794.0 ,0, 3.06 1.37
1995-04-10 06:00 , 728804.0 ,0, 4.405 -0.795
1995-04-21 06:00 , 728815.0 ,0, 7.92 -2.78
1995-05-01 06:00 , 728825.0 ,0, 9.41 -2.47
1995-05-11 06:00 , 728835.0 ,0, 12.2 -2.47
1995-05-21 06:00 , 728845.0 ,0, 15.7 -1.8
1995-06-01 06:00 , 728855.0 ,0, 15.45 2.95
1995-06-11 06:00 , 728865.0 ,0, 14.45 3.15
1995-06-22 06:00 , 728876.0 ,0, 14.95 3.45
1995-07-02 06:00 , 728886.0 ,0, 11.15 6.95
1995-07-12 06:00 , 728896.0 ,0, 10.995 2.905
1995-07-23 06:00 , 728907.0 ,0, 8.5 -0.44
1995-08-03 06:00 , 728917.0 ,0, 5.705 0.055
1995-08-13 06:00 , 728927.0 ,0, 4.155 1.755
1995-08-23 06:00 , 728937.0 ,0, 3.29 0.69
1995-09-03 06:00 , 728947.0 ,0, 2.625 0.775
1995-09-13 06:00 , 728957.0 ,0, 2.33 0.79
1995-09-24 06:00 , 728968.0 ,0, 2.145 0.785
1995-10-04 06:00 , 728978.0 ,0, 2.085 0.345
1995-10-14 06:00 , 728988.0 ,0, 1.98 0.36
1995-10-24 06:00 , 728998.0 ,0, 1.92 0.26
1995-11-04 06:00 , 729008.0 ,0, 1.74 0.21
1995-11-14 06:00 , 729018.0 ,0, 1.675 0.225
1995-11-25 06:00 , 729029.0 ,0, 1.675 0.195
1996-00-00 00:00 , 729039.0 ,0, 1.575 0.085
1996-00-10 00:00 , 729049.0 ,0, 1.525 -0.085
1996-00-21 00:00 , 729060.0 ,0, 1.525 -0.085
1996-01-01 00:00 , 729070.0 ,0, 1.51 0.0
1996-01-11 00:00 , 729080.0 ,0, 1.5 -0.08
1996-01-20 00:00 , 729089.0 ,0, 1.46 -0.03
1996-02-00 00:00 , 729099.0 ,0, 1.47 -0.01
1996-02-10 00:00 , 729109.0 ,0, 1.655 -0.215
1996-02-21 00:00 , 729120.0 ,0, 1.705 -0.265
1996-03-01 00:00 , 729130.0 ,0, 1.725 0.175
1996-03-11 00:00 , 729140.0 ,0, 1.895 0.135
1996-03-21 00:00 , 729150.0 ,0, 2.82 -0.87
1996-04-01 00:00 , 729160.0 ,0, 4.235 -2.105
1996-04-11 00:00 , 729170.0 ,0, 4.145 -0.515
1996-04-22 00:00 , 729181.0 ,0, 6.54 -0.19
1996-05-02 00:00 , 729191.0 ,0, 7.63 2.21
1996-05-12 00:00 , 729201.0 ,0, 10.965 -1.545
1996-05-22 00:00 , 729211.0 ,0, 15.4 -3.7
1996-06-02 00:00 , 729221.0 ,0, 17.9 -6.7
1996-06-12 00:00 , 729231.0 ,0, 18.05 -5.25
1996-06-23 00:00 , 729242.0 ,0, 18.9 -1.2
1996-07-03 00:00 , 729252.0 ,0, 14.8 3.1
1996-07-13 00:00 , 729262.0 ,0, 13.85 -5.46
1996-07-24 00:00 , 729273.0 ,0, 8.51 -2.74
1996-08-04 00:00 , 729283.0 ,0, 5.755 0.815
1996-08-14 00:00 , 729293.0 ,0, 5.075 0.725
1996-08-24 00:00 , 729303.0 ,0, 3.7 0.09
1996-09-04 00:00 , 729313.0 ,0, 2.965 -0.075
1996-09-14 00:00 , 729323.0 ,0, 2.71 -0.24
1996-09-25 00:00 , 729334.0 ,0, 2.56 -0.32
1996-10-05 00:00 , 729344.0 ,0, 2.29 -0.3
1996-10-15 00:00 , 729354.0 ,0, 2.205 -0.385
1996-10-25 00:00 , 729364.0 ,0, 2.09 -0.37
1996-11-05 00:00 , 729374.0 ,0, 1.825 -0.295
1996-11-15 00:00 , 729384.0 ,0, 1.775 -0.325
1996-11-26 00:00 , 729395.0 ,0, 1.77 -0.38
1997-00-00 18:00 , 729405.0 ,0, 1.6 -0.21
1997-00-10 18:00 , 729415.0 ,0, 1.485 -0.225
1997-00-21 18:00 , 729426.0 ,0, 1.485 -0.285
1997-01-01 18:00 , 729436.0 ,0, 1.51 -0.29
1997-01-11 18:00 , 729446.0 ,0, 1.475 -0.375
1997-01-19 18:00 , 729454.0 ,0, 1.45 -0.35
1997-01-29 18:00 , 729464.0 ,0, 1.475 -0.375
1997-02-09 18:00 , 729474.0 ,0, 1.63 -0.52
1997-02-20 18:00 , 729485.0 ,0, 1.68 -0.47
1997-03-00 18:00 , 729495.0 ,0, 1.91 -0.71
1997-03-10 18:00 , 729505.0 ,0, 1.995 0.725
1997-03-20 18:00 , 729515.0 ,0, 2.59 1.8
1997-04-00 18:00 , 729525.0 ,0, 3.28 -1.05
1997-04-10 18:00 , 729535.0 ,0, 3.62 2.61
1997-04-21 18:00 , 729546.0 ,0, 5.745 8.155
1997-05-01 18:00 , 729556.0 ,0, 8.39 0.96
1997-05-11 18:00 , 729566.0 ,0, 9.575 1.625
1997-05-21 18:00 , 729576.0 ,0, 12.8 0.2
1997-06-01 18:00 , 729586.0 ,0, 14.8 6.1
1997-06-11 18:00 , 729596.0 ,0, 15.2 8.0
1997-06-22 18:00 , 729607.0 ,0, 18.05 -1.95
1997-07-02 18:00 , 729617.0 ,0, 18.0 2.7
1997-07-12 18:00 , 729627.0 ,0, 11.145 3.255
1997-07-23 18:00 , 729638.0 ,0, 6.915 4.985
1997-08-03 18:00 , 729648.0 ,0, 6.165 2.345
1997-08-13 18:00 , 729658.0 ,0, 5.855 0.585
1997-08-23 18:00 , 729668.0 ,0, 3.885 1.615
1997-09-03 18:00 , 729678.0 ,0, 3.145 1.055
1997-09-13 18:00 , 729688.0 ,0, 2.795 0.905
1997-09-24 18:00 , 729699.0 ,0, 2.585 0.175
1997-10-04 18:00 , 729709.0 ,0, 2.21 0.17
1997-10-14 18:00 , 729719.0 ,0, 2.08 0.22
1997-10-24 18:00 , 729729.0 ,0, 1.95 0.25
1997-11-04 18:00 , 729739.0 ,0, 1.74 0.33
1997-11-14 18:00 , 729749.0 ,0, 1.675 0.395
1997-11-25 18:00 , 729760.0 ,0, 1.63 0.38
1998-00-00 12:00 , 729770.0 ,0, 1.525 0.395
1998-00-10 12:00 , 729780.0 ,0, 1.35 0.54
1998-00-21 12:00 , 729791.0 ,0, 1.32 0.59
1998-01-01 12:00 , 729801.0 ,0, 1.365 0.445
1998-01-11 12:00 , 729811.0 ,0, 1.26 0.55
1998-01-19 12:00 , 729819.0 ,0, 1.265 0.435
1998-01-29 12:00 , 729829.0 ,0, 1.28 0.42
1998-02-09 12:00 , 729839.0 ,0, 1.275 0.405
1998-02-20 12:00 , 729850.0 ,0, 1.325 0.285
1998-03-00 12:00 , 729860.0 ,0, 1.55 0.32
1998-03-10 12:00 , 729870.0 ,0, 2.375 -0.315
1998-03-20 12:00 , 729880.0 ,0, 3.17 -1.13
1998-04-00 12:00 , 729890.0 ,0, 2.18 0.61
1998-04-10 12:00 , 729900.0 ,0, 4.93 -1.1
1998-04-21 12:00 , 729911.0 ,0, 10.125 -3.185
1998-05-01 12:00 , 729921.0 ,0, 9.595 -2.245
1998-05-11 12:00 , 729931.0 ,0, 10.31 3.89
1998-05-21 12:00 , 729941.0 ,0, 12.35 1.65
1998-06-01 12:00 , 729951.0 ,0, 16.05 1.25
1998-06-11 12:00 , 729961.0 ,0, 18.0 -2.2
1998-06-22 12:00 , 729972.0 ,0, 16.9 -0.1
1998-07-02 12:00 , 729982.0 ,0, 19.3 -3.3
1998-07-12 12:00 , 729992.0 ,0, 11.395 -0.095
1998-07-23 12:00 , 730003.0 ,0, 8.835 3.465
1998-08-03 12:00 , 730013.0 ,0, 7.54 0.03
1998-08-13 12:00 , 730023.0 ,0, 6.12 -1.43
1998-08-23 12:00 , 730033.0 ,0, 4.645 -0.995
1998-09-03 12:00 , 730043.0 ,0, 3.545 -0.615
1998-09-13 12:00 , 730053.0 ,0, 3.085 -0.435
1998-09-24 12:00 , 730064.0 ,0, 2.5 -0.01
1998-10-04 12:00 , 730074.0 ,0, 2.185 0.135
1998-10-14 12:00 , 730084.0 ,0, 2.06 0.15
1998-10-24 12:00 , 730094.0 ,0, 1.96 0.12
1998-11-04 12:00 , 730104.0 ,0, 1.8 0.14
1998-11-14 12:00 , 730114.0 ,0, 1.76 0.18
1998-11-25 12:00 , 730125.0 ,0, 1.7 0.24
1999-00-00 06:00 , 730135.0 ,0, 1.655 0.285
1999-00-10 06:00 , 730145.0 ,0, 1.575 0.365
1999-00-21 06:00 , 730156.0 ,0, 1.555 0.365
1999-01-01 06:00 , 730166.0 ,0, 1.515 0.295
1999-01-11 06:00 , 730176.0 ,0, 1.455 0.325
1999-01-19 06:00 , 730184.0 ,0, 1.4 0.38
1999-01-29 06:00 , 730194.0 ,0, 1.4 0.25
1999-02-09 06:00 , 730204.0 ,0, 1.395 0.255
1999-02-20 06:00 , 730215.0 ,0, 1.41 0.24
1999-03-00 06:00 , 730225.0 ,0, 1.535 0.115
1999-03-10 06:00 , 730235.0 ,0, 2.39 -0.83
1999-03-20 06:00 , 730245.0 ,0, 3.215 -1.635
1999-04-00 06:00 , 730255.0 ,0, 2.51 -0.29
1999-04-10 06:00 , 730265.0 ,0, 5.03 -1.6
1999-04-21 06:00 , 730276.0 ,0, 10.42 -6.5
1999-05-01 06:00 , 730286.0 ,0, 8.35 -2.05
1999-05-11 06:00 , 730296.0 ,0, 12.7 -2.6
1999-05-21 06:00 , 730306.0 ,0, 13.5 -0.2
1999-06-01 06:00 , 730316.0 ,0, 19.1 -0.7
1999-06-11 06:00 , 730326.0 ,0, 19.5 -3.7
1999-06-22 06:00 , 730337.0 ,0, 16.45 1.65
1999-07-02 06:00 , 730347.0 ,0, 18.35 -3.85
1999-07-12 06:00 , 730357.0 ,0, 12.85 1.25
1999-07-23 06:00 , 730368.0 ,0, 12.1 -1.6
1999-08-03 06:00 , 730378.0 ,0, 8.04 -1.22
1999-08-13 06:00 , 730388.0 ,0, 5.565 -0.415
1999-08-23 06:00 , 730398.0 ,0, 4.575 -0.385
1999-09-03 06:00 , 730408.0 ,0, 3.565 0.065
1999-09-13 06:00 , 730418.0 ,0, 3.175 -0.095
1999-09-24 06:00 , 730429.0 ,0, 2.625 0.125
