T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 18:00 , 727985.0 ,0, 1.47655333664 0.193446663359
1993-01-19 18:00 , 727993.0 ,0, 1.47124465905 0.0787553409534
1993-01-29 18:00 , 728003.0 ,0, 1.45472772353 0.165272276473
1993-02-09 18:00 , 728013.0 ,0, 1.43472716853 0.135272831471
1993-02-20 18:00 , 728024.0 ,0, 1.46305611517 0.0969438848314
1993-03-00 18:00 , 728034.0 ,0, 1.45960807686 0.200391923142
1993-03-10 18:00 , 728044.0 ,0, 1.57759657828 0.552403421725
1993-03-20 18:00 , 728054.0 ,0, 1.85424831698 0.265751683015
1993-04-00 18:00 , 728064.0 ,0, 2.58533156815 -0.505331568148
1993-04-10 18:00 , 728074.0 ,0, 3.22356165391 0.906438346092
1993-04-21 18:00 , 728085.0 ,0, 5.38969566141 2.51030433859
1993-05-01 18:00 , 728095.0 ,0, 6.68857558949 3.81142441051
1993-05-11 18:00 , 728105.0 ,0, 9.37886960709 2.82113039291
1993-05-21 18:00 , 728115.0 ,0, 11.9840466789 2.51595332106
1993-06-01 18:00 , 728125.0 ,0, 14.1222957587 -0.622295758686
1993-06-11 18:00 , 728135.0 ,0, 15.4085382577 -5.00853825773
1993-06-22 18:00 , 728146.0 ,0, 15.5346946492 -5.03469464922
1993-07-02 18:00 , 728156.0 ,0, 13.100848105 -2.30084810495
1993-07-12 18:00 , 728166.0 ,0, 10.7613653355 -2.57136533551
1993-07-23 18:00 , 728177.0 ,0, 7.94159125736 0.0984087426433
1993-08-03 18:00 , 728187.0 ,0, 6.33263185716 -0.672631857156
1993-08-13 18:00 , 728197.0 ,0, 5.11527299063 -1.04527299063
1993-08-23 18:00 , 728207.0 ,0, 3.88850347781 -0.728503477809
1993-09-03 18:00 , 728217.0 ,0, 3.10429864699 -0.384298646986
1993-09-13 18:00 , 728227.0 ,0, 2.66132493713 -0.301324937133
1993-09-24 18:00 , 728238.0 ,0, 2.37818075084 -0.278180750837
1993-10-04 18:00 , 728248.0 ,0, 2.14038767815 -0.120387678154
1993-10-14 18:00 , 728258.0 ,0, 2.06253482983 -0.172534829827
1993-10-24 18:00 , 728268.0 ,0, 2.00018669113 -0.160186691126
