T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 18:00 , 727985.0 ,0, 1.70332665874 0.77667334126
1993-01-19 18:00 , 727993.0 ,0, 1.68431129423 0.775688705766
1993-01-29 18:00 , 728003.0 ,0, 1.66375837392 0.786241626081
1993-02-09 18:00 , 728013.0 ,0, 1.64183283 0.788167170002
1993-02-20 18:00 , 728024.0 ,0, 1.69145248801 0.698547511987
1993-03-00 18:00 , 728034.0 ,0, 1.79512022687 0.774879773135
1993-03-10 18:00 , 728044.0 ,0, 1.86768478491 1.38231521509
1993-03-20 18:00 , 728054.0 ,0, 2.54330414126 0.736695858737
1993-04-00 18:00 , 728064.0 ,0, 4.35564433385 -1.43564433385
1993-04-10 18:00 , 728074.0 ,0, 6.21710247829 -0.517102478295
1993-04-21 18:00 , 728085.0 ,0, 8.26270586084 3.93729413916
1993-05-01 18:00 , 728095.0 ,0, 12.434872544 4.36512745603
1993-05-11 18:00 , 728105.0 ,0, 15.6722425413 4.62775745867
1993-05-21 18:00 , 728115.0 ,0, 14.8679549927 3.63204500732
1993-06-01 18:00 , 728125.0 ,0, 14.5266607823 4.87333921771
1993-06-11 18:00 , 728135.0 ,0, 15.9632798426 0.836720157365
1993-06-22 18:00 , 728146.0 ,0, 16.3189990222 -3.1189990222
1993-07-02 18:00 , 728156.0 ,0, 12.7478566528 -3.63785665276
1993-07-12 18:00 , 728166.0 ,0, 11.3958554725 -2.6158554725
1993-07-23 18:00 , 728177.0 ,0, 8.24931761663 1.56068238337
1993-08-03 18:00 , 728187.0 ,0, 6.02694215988 1.80305784012
1993-08-13 18:00 , 728197.0 ,0, 4.29497991757 2.13502008243
1993-08-23 18:00 , 728207.0 ,0, 3.75278248512 1.18721751488
1993-09-03 18:00 , 728217.0 ,0, 3.0855220239 1.4544779761
1993-09-13 18:00 , 728227.0 ,0, 2.84050453443 1.10949546557
1993-09-24 18:00 , 728238.0 ,0, 2.9322409518 0.467759048198
1993-10-04 18:00 , 728248.0 ,0, 2.84819780661 0.0318021933873
1993-10-14 18:00 , 728258.0 ,0, 2.65567022967 0.0643297703292
1993-10-24 18:00 , 728268.0 ,0, 2.6035251596 0.176474840404
1993-11-04 18:00 , 728278.0 ,0, 2.45577550163 0.484224498374
1993-11-14 18:00 , 728288.0 ,0, 2.2309959276 0.759004072403
1993-11-25 18:00 , 728299.0 ,0, 2.16753478714 0.682465212858
1994-00-00 12:00 , 728309.0 ,0, 2.06157264108 0.818427358922
1994-00-10 12:00 , 728319.0 ,0, 2.03979340895 0.660206591045
1994-00-21 12:00 , 728330.0 ,0, 2.02608609556 0.463913904436
1994-01-01 12:00 , 728340.0 ,0, 2.02536849545 0.234631504553
1994-01-11 12:00 , 728350.0 ,0, 2.0255160712 0.374483928799
1994-01-19 12:00 , 728358.0 ,0, 2.10348487152 0.126515128485
1994-01-29 12:00 , 728368.0 ,0, 2.13251568497 0.0974843150346
1994-02-09 12:00 , 728378.0 ,0, 2.13276342451 0.0372365754896
1994-02-20 12:00 , 728389.0 ,0, 2.07929374566 0.260706254343
1994-03-00 12:00 , 728399.0 ,0, 1.97122256467 0.398777435328
1994-03-10 12:00 , 728409.0 ,0, 2.13044665087 0.699553349132
1994-03-20 12:00 , 728419.0 ,0, 2.61952738264 0.900472617362
1994-04-00 12:00 , 728429.0 ,0, 3.11891604373 3.43108395627
1994-04-10 12:00 , 728439.0 ,0, 5.75939959921 3.06060040079
1994-04-21 12:00 , 728450.0 ,0, 11.607264698 1.09273530197
