T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 18:00 , 727985.0 ,0, 0.6075 0.0625
1993-01-19 18:00 , 727993.0 ,0, 0.6525 -0.0425
1993-01-29 18:00 , 728003.0 ,0, 0.6425 0.1275
1993-02-09 18:00 , 728013.0 ,0, 0.6925 -0.1125
1993-02-20 18:00 , 728024.0 ,0, 0.6425 -0.1925
1993-03-00 18:00 , 728034.0 ,0, 0.6525 -0.0225
1993-03-10 18:00 , 728044.0 ,0, 0.7225 0.4475
1993-03-20 18:00 , 728054.0 ,0, 1.005 0.465
1993-04-00 18:00 , 728064.0 ,0, 1.8025 -0.3825
1993-04-10 18:00 , 728074.0 ,0, 2.0725 1.5575
1993-04-21 18:00 , 728085.0 ,0, 3.145 1.755
1993-05-01 18:00 , 728095.0 ,0, 3.4375 2.5625
1993-05-11 18:00 , 728105.0 ,0, 4.275 3.135
1993-05-21 18:00 , 728115.0 ,0, 4.77 3.52
1993-06-01 18:00 , 728125.0 ,0, 5.5875 3.2625
1993-06-11 18:00 , 728135.0 ,0, 5.56 3.57
1993-06-22 18:00 , 728146.0 ,0, 5.645 1.505
1993-07-02 18:00 , 728156.0 ,0, 5.7225 0.8375
1993-07-12 18:00 , 728166.0 ,0, 5.0375 -0.0375
1993-07-23 18:00 , 728177.0 ,0, 3.88 0.18
1993-08-03 18:00 , 728187.0 ,0, 3.0375 0.7025
1993-08-13 18:00 , 728197.0 ,0, 2.665 0.395
1993-08-23 18:00 , 728207.0 ,0, 2.2425 0.4275
1993-09-03 18:00 , 728217.0 ,0, 1.9475 0.7925
1993-09-13 18:00 , 728227.0 ,0, 1.705 0.435
1993-09-24 18:00 , 728238.0 ,0, 1.4575 0.2425
1993-10-04 18:00 , 728248.0 ,0, 1.3475 0.2825
1993-10-14 18:00 , 728258.0 ,0, 1.2525 0.2775
1993-10-24 18:00 , 728268.0 ,0, 1.12 0.24
1993-11-04 18:00 , 728278.0 ,0, 1.0225 0.2175
1993-11-14 18:00 , 728288.0 ,0, 0.9 0.29
1993-11-25 18:00 , 728299.0 ,0, 0.765 0.215
1994-00-00 12:00 , 728309.0 ,0, 0.64 -0.14
1994-00-10 12:00 , 728319.0 ,0, 0.75 -0.1
1994-00-21 12:00 , 728330.0 ,0, 0.6775 0.0925
1994-01-01 12:00 , 728340.0 ,0, 0.7675 0.0725
1994-01-11 12:00 , 728350.0 ,0, 0.635 0.105
1994-01-19 12:00 , 728358.0 ,0, 0.6825 0.0575
1994-01-29 12:00 , 728368.0 ,0, 0.6925 0.0975
1994-02-09 12:00 , 728378.0 ,0, 0.6675 0.1625
1994-02-20 12:00 , 728389.0 ,0, 0.6025 0.0975
1994-03-00 12:00 , 728399.0 ,0, 0.68 0.04
1994-03-10 12:00 , 728409.0 ,0, 0.8625 -0.0525
1994-03-20 12:00 , 728419.0 ,0, 1.16 0.15
1994-04-00 12:00 , 728429.0 ,0, 1.76 0.62
1994-04-10 12:00 , 728439.0 ,0, 2.335 1.125
1994-04-21 12:00 , 728450.0 ,0, 3.6675 0.7725
1994-05-01 12:00 , 728460.0 ,0, 4.405 0.685
1994-05-11 12:00 , 728470.0 ,0, 5.3675 0.5025
1994-05-21 12:00 , 728480.0 ,0, 5.925 0.135
1994-06-01 12:00 , 728490.0 ,0, 6.515 0.905
1994-06-11 12:00 , 728500.0 ,0, 6.52 0.45
1994-06-22 12:00 , 728511.0 ,0, 6.1475 0.9425
1994-07-02 12:00 , 728521.0 ,0, 6.3 0.48
1994-07-12 12:00 , 728531.0 ,0, 5.155 1.015
1994-07-23 12:00 , 728542.0 ,0, 4.065 1.775
1994-08-03 12:00 , 728552.0 ,0, 3.3575 1.8025
1994-08-13 12:00 , 728562.0 ,0, 2.885 0.315
1994-08-23 12:00 , 728572.0 ,0, 2.4275 0.1525
1994-09-03 12:00 , 728582.0 ,0, 2.175 -0.075
1994-09-13 12:00 , 728592.0 ,0, 1.87 -0.17
1994-09-24 12:00 , 728603.0 ,0, 1.5425 0.0975
1994-10-04 12:00 , 728613.0 ,0, 1.4525 0.1575
1994-10-14 12:00 , 728623.0 ,0, 1.3525 0.1575
1994-10-24 12:00 , 728633.0 ,0, 1.19 -0.05
1994-11-04 12:00 , 728643.0 ,0, 1.08 -0.11
1994-11-14 12:00 , 728653.0 ,0, 0.97 -0.11
1994-11-25 12:00 , 728664.0 ,0, 0.815 0.055
1995-00-00 06:00 , 728674.0 ,0, 0.6525 0.1475
1995-00-10 06:00 , 728684.0 ,0, 0.76 0.05
1995-00-21 06:00 , 728695.0 ,0, 0.735 0.035
