T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1995-05-11 06:00 , 728835.0 ,0, 9.28883599957 0.441164000433
1995-05-21 06:00 , 728845.0 ,0, 12.8343930449 1.0656069551
1995-06-01 06:00 , 728855.0 ,0, 14.0677956008 4.3322043992
1995-06-11 06:00 , 728865.0 ,0, 14.1415837585 3.45841624151
1995-06-22 06:00 , 728876.0 ,0, 15.0234653188 3.37653468124
1995-07-02 06:00 , 728886.0 ,0, 12.3303819636 5.76961803643
1995-07-12 06:00 , 728896.0 ,0, 10.4734685117 3.42653148826
1995-07-23 06:00 , 728907.0 ,0, 7.20786255225 0.85213744775
1995-08-03 06:00 , 728917.0 ,0, 5.33639773768 0.423602262315
1995-08-13 06:00 , 728927.0 ,0, 4.39103640467 1.51896359533
1995-08-23 06:00 , 728937.0 ,0, 3.49251527324 0.487484726759
1995-09-03 06:00 , 728947.0 ,0, 2.78479906397 0.615200936026
1995-09-13 06:00 , 728957.0 ,0, 2.51956629511 0.600433704885
1995-09-24 06:00 , 728968.0 ,0, 2.19979796559 0.73020203441
1995-10-04 06:00 , 728978.0 ,0, 2.01967084197 0.410329158031
1995-10-14 06:00 , 728988.0 ,0, 1.9222356027 0.417764397301
1995-10-24 06:00 , 728998.0 ,0, 1.81236973609 0.367630263913
1995-11-04 06:00 , 729008.0 ,0, 1.72959091605 0.220409083949
1995-11-14 06:00 , 729018.0 ,0, 1.68748665659 0.212513343408
1995-11-25 06:00 , 729029.0 ,0, 1.56682913461 0.303170865386
1996-00-00 00:00 , 729039.0 ,0, 1.51510670293 0.144893297066
1996-00-10 00:00 , 729049.0 ,0, 1.51773452933 -0.0777345293281
1996-00-21 00:00 , 729060.0 ,0, 1.4821541385 -0.0421541385018
1996-01-01 00:00 , 729070.0 ,0, 1.4911063589 0.0188936410997
1996-01-11 00:00 , 729080.0 ,0, 1.4760273479 -0.056027347901
1996-01-20 00:00 , 729089.0 ,0, 1.46733333154 -0.0373333315361
1996-02-00 00:00 , 729099.0 ,0, 1.39383440226 0.0661655977434
1996-02-10 00:00 , 729109.0 ,0, 1.39029605646 0.0497039435352
1996-02-21 00:00 , 729120.0 ,0, 1.42991500801 0.0100849919913
1996-03-01 00:00 , 729130.0 ,0, 1.41486284363 0.485137156365
1996-03-11 00:00 , 729140.0 ,0, 1.49034288923 0.53965711077
1996-03-21 00:00 , 729150.0 ,0, 1.91575358524 0.0342464147554
1996-04-01 00:00 , 729160.0 ,0, 2.39154660874 -0.261546608744
1996-04-11 00:00 , 729170.0 ,0, 2.64381273813 0.986187261865
1996-04-22 00:00 , 729181.0 ,0, 4.791181496 1.558818504
1996-05-02 00:00 , 729191.0 ,0, 5.9407319788 3.8992680212
1996-05-12 00:00 , 729201.0 ,0, 9.08066706365 0.339332936347
1996-05-22 00:00 , 729211.0 ,0, 12.8935758037 -1.19357580374
1996-06-02 00:00 , 729221.0 ,0, 13.6691228562 -2.46912285617
1996-06-12 00:00 , 729231.0 ,0, 15.9316692639 -3.13166926389
1996-06-23 00:00 , 729242.0 ,0, 16.0950665003 1.60493349968
1996-07-03 00:00 , 729252.0 ,0, 13.5858911066 4.31410889338
1996-07-13 00:00 , 729262.0 ,0, 10.5999811674 -2.20998116737
1996-07-24 00:00 , 729273.0 ,0, 7.42764290547 -1.65764290547
1996-08-04 00:00 , 729283.0 ,0, 6.22378791922 0.346212080783
1996-08-14 00:00 , 729293.0 ,0, 4.59913900139 1.20086099861
1996-08-24 00:00 , 729303.0 ,0, 3.22193787342 0.568062126582
1996-09-04 00:00 , 729313.0 ,0, 2.72435918304 0.165640816964
1996-09-14 00:00 , 729323.0 ,0, 2.22674670282 0.243253297177
1996-09-25 00:00 , 729334.0 ,0, 2.19950776333 0.0404922366712
1996-10-05 00:00 , 729344.0 ,0, 1.96758644595 0.0224135540502
1996-10-15 00:00 , 729354.0 ,0, 1.87455896857 -0.0545589685702
1996-10-25 00:00 , 729364.0 ,0, 1.76491968025 -0.0449196802525
1996-11-05 00:00 , 729374.0 ,0, 1.60861996855 -0.078619968555
1996-11-15 00:00 , 729384.0 ,0, 1.66600080869 -0.216000808685
1996-11-26 00:00 , 729395.0 ,0, 1.64732209036 -0.257322090358
1997-00-00 18:00 , 729405.0 ,0, 1.6098111519 -0.219811151896
1997-00-10 18:00 , 729415.0 ,0, 1.61693716168 -0.356937161679
1997-00-21 18:00 , 729426.0 ,0, 1.52021963185 -0.320219631846
1997-01-01 18:00 , 729436.0 ,0, 1.54455975082 -0.324559750819
1997-01-11 18:00 , 729446.0 ,0, 1.50356372802 -0.403563728021
1997-01-19 18:00 , 729454.0 ,0, 1.49711531987 -0.397115319873
1997-01-29 18:00 , 729464.0 ,0, 1.50353003743 -0.403530037429
1997-02-09 18:00 , 729474.0 ,0, 1.49391025609 -0.383910256092
1997-02-20 18:00 , 729485.0 ,0, 1.4813205432 -0.271320543205
1997-03-00 18:00 , 729495.0 ,0, 1.54354199499 -0.343541994992
1997-03-10 18:00 , 729505.0 ,0, 1.74872817309 0.971271826911
1997-03-20 18:00 , 729515.0 ,0, 1.8740921915 2.5159078085
1997-04-00 18:00 , 729525.0 ,0, 3.33928174799 -1.10928174799
1997-04-10 18:00 , 729535.0 ,0, 4.26569958143 1.96430041857
1997-04-21 18:00 , 729546.0 ,0, 7.47397469337 6.42602530663
1997-05-01 18:00 , 729556.0 ,0, 7.81530620464 1.53469379536
1997-05-11 18:00 , 729566.0 ,0, 11.0407700113 0.159229988694
1997-05-21 18:00 , 729576.0 ,0, 15.4599833707 -2.45998337075
1997-06-01 18:00 , 729586.0 ,0, 16.3652479345 4.53475206552
1997-06-11 18:00 , 729596.0 ,0, 18.5633839058 4.63661609424
1997-06-22 18:00 , 729607.0 ,0, 16.0867141789 0.0132858210781
