T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 18:00 , 727985.0 ,0, 1.89449259418 -0.274492594182
1993-01-19 18:00 , 727993.0 ,0, 1.82071187974 -0.230711879739
1993-01-29 18:00 , 728003.0 ,0, 1.76105811011 -0.211058110112
1993-02-09 18:00 , 728013.0 ,0, 1.79515941059 -0.285159410588
1993-02-20 18:00 , 728024.0 ,0, 1.7545481735 -0.234548173503
1993-03-00 18:00 , 728034.0 ,0, 1.75897545692 -0.018975456924
1993-03-10 18:00 , 728044.0 ,0, 1.80059361735 0.389406382652
1993-03-20 18:00 , 728054.0 ,0, 2.32016575015 -0.200165750146
1993-04-00 18:00 , 728064.0 ,0, 3.61470347189 -1.70470347189
1993-04-10 18:00 , 728074.0 ,0, 3.94786851978 1.65213148022
1993-04-21 18:00 , 728085.0 ,0, 6.98284386267 2.48715613733
1993-05-01 18:00 , 728095.0 ,0, 6.46942565062 6.03057434938
1993-05-11 18:00 , 728105.0 ,0, 9.56346869425 5.73653130575
1993-05-21 18:00 , 728115.0 ,0, 10.6200665701 7.17993342988
1993-06-01 18:00 , 728125.0 ,0, 12.296392748 7.50360725197
1993-06-11 18:00 , 728135.0 ,0, 16.0497586554 -1.0497586554
1993-06-22 18:00 , 728146.0 ,0, 17.2793135298 -3.17931352983
1993-07-02 18:00 , 728156.0 ,0, 14.0634047909 -3.36340479088
1993-07-12 18:00 , 728166.0 ,0, 11.3299077873 -3.60990778728
1993-07-23 18:00 , 728177.0 ,0, 8.41461767835 -1.08461767835
1993-08-03 18:00 , 728187.0 ,0, 6.22549074187 0.364509258129
1993-08-13 18:00 , 728197.0 ,0, 4.82010835636 0.33989164364
1993-08-23 18:00 , 728207.0 ,0, 4.2410273428 -0.1710273428
1993-09-03 18:00 , 728217.0 ,0, 3.26320343065 0.0367965693506
1993-09-13 18:00 , 728227.0 ,0, 2.74074611599 0.27925388401
1993-09-24 18:00 , 728238.0 ,0, 2.39714585409 0.45285414591
1993-10-04 18:00 , 728248.0 ,0, 2.20246791953 0.497532080468
1993-10-14 18:00 , 728258.0 ,0, 2.10320401035 0.42679598965
1993-10-24 18:00 , 728268.0 ,0, 2.00695017895 0.613049821048
1993-11-04 18:00 , 728278.0 ,0, 1.93973524979 0.590264750206
1993-11-14 18:00 , 728288.0 ,0, 1.84234607741 0.667653922585
1993-11-25 18:00 , 728299.0 ,0, 1.56797179763 0.882028202371
1994-00-00 12:00 , 728309.0 ,0, 1.52377010828 0.566229891718
1994-00-10 12:00 , 728319.0 ,0, 1.50949944215 0.350500557847
1994-00-21 12:00 , 728330.0 ,0, 1.47658799798 0.34341200202
1994-01-01 12:00 , 728340.0 ,0, 1.43162368756 0.388376312441
1994-01-11 12:00 , 728350.0 ,0, 1.43846780199 0.301532198011
1994-01-19 12:00 , 728358.0 ,0, 1.42948671602 0.230513283977
1994-01-29 12:00 , 728368.0 ,0, 1.44108265709 0.218917342911
1994-02-09 12:00 , 728378.0 ,0, 1.40997342814 0.240026571855
1994-02-20 12:00 , 728389.0 ,0, 1.4224250566 0.217574943399
1994-03-00 12:00 , 728399.0 ,0, 1.4415125534 0.208487446605
1994-03-10 12:00 , 728409.0 ,0, 1.49905519682 0.480944803185
1994-03-20 12:00 , 728419.0 ,0, 2.59409330403 0.175906695967
1994-04-00 12:00 , 728429.0 ,0, 5.0910819122 -0.3010819122
1994-04-10 12:00 , 728439.0 ,0, 4.06711634872 1.84288365128
1994-04-21 12:00 , 728450.0 ,0, 9.6055499684 0.594450031605
1994-05-01 12:00 , 728460.0 ,0, 10.4774942755 -2.5774942755
1994-05-11 12:00 , 728470.0 ,0, 13.9367589032 0.863241096771
1994-05-21 12:00 , 728480.0 ,0, 15.541274085 3.95872591504
1994-06-01 12:00 , 728490.0 ,0, 13.405804213 5.39419578701
1994-06-11 12:00 , 728500.0 ,0, 15.2859251055 2.71407489454
1994-06-22 12:00 , 728511.0 ,0, 18.2291079267 -1.32910792673
1994-07-02 12:00 , 728521.0 ,0, 12.7862839203 4.21371607966
1994-07-12 12:00 , 728531.0 ,0, 10.6659566416 5.83404335837
1994-07-23 12:00 , 728542.0 ,0, 8.88188856846 -1.56188856846
1994-08-03 12:00 , 728552.0 ,0, 7.25068023552 -3.52068023552
1994-08-13 12:00 , 728562.0 ,0, 6.1082136749 -3.0582136749
1994-08-23 12:00 , 728572.0 ,0, 4.49916440096 -1.91916440096
1994-09-03 12:00 , 728582.0 ,0, 3.22179898035 -0.991798980347
1994-09-13 12:00 , 728592.0 ,0, 2.60123316469 -0.521233164688
